,theta,phi,dtheta,dphi,position_x,position_y,position_z,timestamps
0,1.2566370614359172,0.0,0.0,0.747000919853573,0.47552825814757677,0.0,-0.15450849718747373,0.0
1,1.2566370614359172,7.470009198535729e-07,-1.8495733715402184e-05,0.747000919853573,0.4755282581474441,3.552200462525741e-07,-0.15450849718747373,0.0
2,1.2566370614174216,1.4940018397071459e-06,-3.699146743080437e-05,0.7470009198625513,0.47552825814418836,7.104400925006805e-07,-0.15450849719626894,1e-06
3,1.25663706138043,2.241002759569697e-06,-5.548720114608212e-05,0.7470009198805081,0.47552825813780947,1.0656601387419863e-06,-0.15450849721385945,2e-06
4,1.256637061324943,2.988003679450205e-06,-7.398293486111102e-05,0.7470009199074433,0.4755282581283075,1.4208801849741585e-06,-0.15450849724024518,3e-06
5,1.2566370612509599,3.7350045993576483e-06,-9.247866857576663e-05,0.7470009199433569,0.47552825811568245,1.7761002311948637e-06,-0.1545084972754262,4e-06
6,1.2566370611584812,4.482005519301005e-06,-0.00011097440228992452,0.7470009199882489,0.47552825809993426,2.1313202774017698e-06,-0.15450849731940242,4.9999999999999996e-06
7,1.2566370610475068,5.229006439289254e-06,-0.00012947013600346025,0.7470009200421193,0.47552825808106297,2.4865403235925433e-06,-0.15450849737217387,6e-06
8,1.2566370609180366,5.976007359331373e-06,-0.00014796586971624941,0.747000920104968,0.4755282580590686,2.8417603697648514e-06,-0.15450849743374062,7e-06
9,1.2566370607700708,6.723008279436341e-06,-0.00016646160342816756,0.7470009201767952,0.4755282580339512,3.1969804159163616e-06,-0.15450849750410256,8e-06
10,1.2566370606036092,7.470009199613136e-06,-0.00018495733713909027,0.7470009202576008,0.47552825800571064,3.5522004620447397e-06,-0.1545084975832597,9e-06
