,theta,phi,dtheta,dphi,position_x,position_y,position_z,timestep
82,1.0,1.0,1.0,1.0,0.47689,0.600477,0.003688,6.816667
83,1.0,1.0,1.0,1.0,0.481028,0.604559,0.00272,6.825
84,1.0,1.0,1.0,1.0,0.485003,0.610351,0.004124,6.833333
85,1.0,1.0,1.0,1.0,0.48842,0.614271,0.003682,6.841667
86,1.0,1.0,1.0,1.0,0.491479,0.618536,0.004246,6.85
87,1.0,1.0,1.0,1.0,0.494066,0.621713,0.003744,6.858333
88,1.0,1.0,1.0,1.0,0.496398,0.62504,0.004071,6.866667
89,1.0,1.0,1.0,1.0,0.498394,0.627818,0.004123,6.875
90,1.0,1.0,1.0,1.0,0.500139,0.63019,0.004279,6.883333
91,1.0,1.0,1.0,1.0,0.501371,0.632264,0.004366,6.891667
92,1.0,1.0,1.0,1.0,0.502491,0.633763,0.004541,6.9
93,1.0,1.0,1.0,1.0,0.503333,0.63484,0.004736,6.908333
94,1.0,1.0,1.0,1.0,0.503835,0.635514,0.004984,6.916667
95,1.0,1.0,1.0,1.0,0.504034,0.635568,0.005096,6.925
96,1.0,1.0,1.0,1.0,0.503821,0.635174,0.005147,6.933333
97,1.0,1.0,1.0,1.0,0.503344,0.634381,0.005478,6.941667
98,1.0,1.0,1.0,1.0,0.502546,0.63303,0.005782,6.95
99,1.0,1.0,1.0,1.0,0.501157,0.631259,0.005903,6.958333
100,1.0,1.0,1.0,1.0,0.499534,0.628929,0.006154,6.966667
101,1.0,1.0,1.0,1.0,0.497385,0.626247,0.006532,6.975
102,1.0,1.0,1.0,1.0,0.494625,0.622069,0.005637,6.983333
103,1.0,1.0,1.0,1.0,0.492106,0.619407,0.007176,6.991667
104,1.0,1.0,1.0,1.0,0.488838,0.615496,0.007702,7.0
105,1.0,1.0,1.0,1.0,0.485158,0.610995,0.007819,7.008333
106,1.0,1.0,1.0,1.0,0.481161,0.606378,0.008289,7.016667
107,1.0,1.0,1.0,1.0,0.476549,0.600022,0.007318,7.025
108,1.0,1.0,1.0,1.0,0.471876,0.594597,0.00773,7.033333
109,1.0,1.0,1.0,1.0,0.467301,0.590173,0.009456,7.041667
110,1.0,1.0,1.0,1.0,0.461398,0.582787,0.008545,7.05
111,1.0,1.0,1.0,1.0,0.456083,0.577692,0.010314,7.058333
112,1.0,1.0,1.0,1.0,0.449801,0.571161,0.010929,7.066667
113,1.0,1.0,1.0,1.0,0.442672,0.562711,0.010056,7.075
114,1.0,1.0,1.0,1.0,0.435476,0.555585,0.010586,7.083333
115,1.0,1.0,1.0,1.0,0.428199,0.549613,0.012393,7.091667
116,1.0,1.0,1.0,1.0,0.419401,0.540512,0.011605,7.1
117,1.0,1.0,1.0,1.0,0.410646,0.532678,0.012364,7.108333
118,1.0,1.0,1.0,1.0,0.401097,0.524838,0.01281,7.116667
119,1.0,1.0,1.0,1.0,0.391336,0.516773,0.013561,7.125
120,1.0,1.0,1.0,1.0,0.381076,0.50858,0.014245,7.133333
121,1.0,1.0,1.0,1.0,0.370356,0.50039,0.014883,7.141667
122,1.0,1.0,1.0,1.0,0.358873,0.492392,0.015547,7.15
123,1.0,1.0,1.0,1.0,0.347229,0.484385,0.016269,7.158333
124,1.0,1.0,1.0,1.0,0.335124,0.476382,0.016969,7.166667
125,1.0,1.0,1.0,1.0,0.322499,0.468491,0.017782,7.175
126,1.0,1.0,1.0,1.0,0.309338,0.460732,0.018493,7.183333
127,1.0,1.0,1.0,1.0,0.295687,0.453183,0.019272,7.191667
128,1.0,1.0,1.0,1.0,0.28155,0.445737,0.020056,7.2
129,1.0,1.0,1.0,1.0,0.266842,0.438569,0.020892,7.208333
130,1.0,1.0,1.0,1.0,0.251804,0.431492,0.021611,7.216667
131,1.0,1.0,1.0,1.0,0.236163,0.425006,0.022921,7.225
132,1.0,1.0,1.0,1.0,0.220195,0.4187,0.023805,7.233333
133,1.0,1.0,1.0,1.0,0.203868,0.412629,0.024592,7.241667
134,1.0,1.0,1.0,1.0,0.18722,0.407017,0.02555,7.25
135,1.0,1.0,1.0,1.0,0.170105,0.401959,0.026342,7.258333
136,1.0,1.0,1.0,1.0,0.152798,0.397208,0.027139,7.266667
137,1.0,1.0,1.0,1.0,0.135332,0.39283,0.028059,7.275
138,1.0,1.0,1.0,1.0,0.117434,0.389075,0.028763,7.283333
139,1.0,1.0,1.0,1.0,0.099281,0.385765,0.029593,7.291667
140,1.0,1.0,1.0,1.0,0.08102,0.382854,0.030396,7.3
141,1.0,1.0,1.0,1.0,0.062465,0.380522,0.031204,7.308333
142,1.0,1.0,1.0,1.0,0.043699,0.378692,0.031915,7.316667
143,1.0,1.0,1.0,1.0,0.024898,0.377382,0.032727,7.325
144,1.0,1.0,1.0,1.0,0.006113,0.376634,0.033615,7.333333
145,1.0,1.0,1.0,1.0,-0.012826,0.37647,0.034409,7.341667
146,1.0,1.0,1.0,1.0,-0.032252,0.377338,0.035225,7.35
147,1.0,1.0,1.0,1.0,-0.050611,0.377791,0.035817,7.358333
148,1.0,1.0,1.0,1.0,-0.069217,0.379165,0.036601,7.366667
149,1.0,1.0,1.0,1.0,-0.087743,0.381133,0.037392,7.375
150,1.0,1.0,1.0,1.0,-0.106265,0.383655,0.038002,7.383333
151,1.0,1.0,1.0,1.0,-0.125087,0.387024,0.038611,7.391667
152,1.0,1.0,1.0,1.0,-0.143255,0.390562,0.039186,7.4
153,1.0,1.0,1.0,1.0,-0.161194,0.394571,0.039788,7.408333
154,1.0,1.0,1.0,1.0,-0.178896,0.39849,0.039788,7.416667
155,1.0,1.0,1.0,1.0,-0.196199,0.403371,0.040382,7.425
156,1.0,1.0,1.0,1.0,-0.213174,0.408671,0.040959,7.433333
157,1.0,1.0,1.0,1.0,-0.229711,0.414352,0.041452,7.441667
158,1.0,1.0,1.0,1.0,-0.245893,0.420395,0.042006,7.45
