,index,Mean Squared Error,Mean Squared Error dB,Error in Filter Std,Occlusion Start,Occlusion End,Occlusion Duration,System Noise,Meaned Filter Variance,Filter Crashed,Crashed At
0,0.0,8.364462570447836e-05,-40.77561957891903,68.48589380312924,1000.0,1000.0,0.0,0.05,0.00021044775787789472,0.0,0.0
1,1.0,0.00011597924000287136,-39.35619741454683,68.26413699642725,1000.0,1300.0,300.0,0.05,0.00024175496140963658,0.0,0.0
2,2.0,0.0003376635264668802,-34.71515848187953,67.5434273746458,1000.0,1600.0,600.0,0.05,0.0003371990645007537,0.0,0.0
3,3.0,0.0008279809303458654,-30.819796655592423,66.44080325243317,1000.0,1900.0,900.0,0.05,0.0005253135810364647,0.0,0.0
4,4.0,0.0016970488467321285,-27.703056570571523,65.6954539854626,1000.0,2200.0,1200.0,0.05,0.0008533407883595616,0.0,0.0
5,5.0,0.003082143634473863,-25.11147126095901,65.25194037205864,1000.0,2500.0,1500.0,0.05,0.0013871602892450696,0.0,0.0
6,6.0,0.004852585610743555,-23.14026793920941,64.2848342983861,1000.0,2800.0,1800.0,0.05,0.0022102433481748646,0.0,0.0
7,7.0,0.006809029709872377,-21.669147708583022,62.966613280768755,1000.0,3100.0,2100.0,0.05,0.0034140146208310354,0.0,0.0
8,8.0,0.008614737726990127,-20.647579399750708,62.58469878033757,1000.0,3400.0,2400.0,0.05,0.005123266810614063,0.0,0.0
9,9.0,0.009819963478626025,-20.078901273923464,62.196624368609086,1000.0,3700.0,2700.0,0.05,0.007498830278750509,0.0,0.0
10,10.0,0.010452038777935171,-19.807989876729913,62.12886534433905,1000.0,4000.0,3000.0,0.05,0.010702819622440289,0.0,0.0
11,11.0,0.01098256115650313,-19.592963696826835,61.981027473204385,1000.0,4300.0,3300.0,0.05,0.015207573160892907,0.0,0.0
12,12.0,0.012075841775335498,-19.18082585989191,61.137119625477396,1000.0,4600.0,3600.0,0.05,0.021511743188873795,0.0,0.0
13,13.0,0.014003567603157269,-18.53761307680068,60.8907231735863,1000.0,4900.0,3900.0,0.05,0.03040954908329391,0.0,0.0
14,14.0,0.016506648900064078,-17.8234108615156,60.92152273007269,1000.0,5200.0,4200.0,0.05,0.043426750716162865,0.0,0.0
15,15.0,0.019025831682230935,-17.206563496896386,38.94295922138721,1000.0,5500.0,4500.0,0.05,0.06366700652331204,0.0,0.0
16,16.0,0.021417580644725865,-16.692295891525273,39.81766662560059,1000.0,5800.0,4800.0,0.05,0.09800437382553276,0.0,0.0
17,17.0,0.02449761060312944,-16.108762728795867,60.773684858938026,1000.0,6100.0,5100.0,0.05,0.16316902738743674,0.0,0.0
18,18.0,0.028742671371516967,-15.414728705791774,45.86053960822964,1000.0,6400.0,5400.0,0.05,0.3036143338376592,0.0,0.0
19,19.0,0.03419475027876207,-14.660405635335731,46.1685351730935,1000.0,6700.0,5700.0,0.05,0.56463411412711,0.0,0.0
20,20.0,0.04116503426301372,-13.854715187747102,61.21103856104472,1000.0,7000.0,6000.0,0.05,0.9051768599393588,0.0,0.0
21,21.0,0.048391669404940794,-13.152293954394638,48.04730811876309,1000.0,7300.0,6300.0,0.05,1.6515289539308229,0.0,0.0
22,22.0,0.06831650255700279,-11.654743753265766,23.629419736355796,1000.0,7600.0,6600.0,0.05,11491.30999698913,1.0,7531.0
23,23.0,0.06831650255700279,-11.654743753265766,23.629419736355796,1000.0,7900.0,6900.0,0.05,11491.30999698913,1.0,7531.0
24,24.0,0.06831650255700279,-11.654743753265766,23.629419736355796,1000.0,8200.0,7200.0,0.05,11491.30999698913,1.0,7531.0
25,25.0,0.06831650255700279,-11.654743753265766,23.629419736355796,1000.0,8500.0,7500.0,0.05,11491.30999698913,1.0,7531.0
26,26.0,0.06831650255700279,-11.654743753265766,23.629419736355796,1000.0,8800.0,7800.0,0.05,11491.30999698913,1.0,7531.0
27,27.0,0.06831650255700279,-11.654743753265766,23.629419736355796,1000.0,9100.0,8100.0,0.05,11491.30999698913,1.0,7531.0
28,28.0,0.06831650255700279,-11.654743753265766,23.629419736355796,1000.0,9400.0,8400.0,0.05,11491.30999698913,1.0,7531.0
29,29.0,0.06831650255700279,-11.654743753265766,23.629419736355796,1000.0,9700.0,8700.0,0.05,11491.30999698913,1.0,7531.0
