,index,Mean Squared Error,Mean Squared Error dB,Error in Filter Std,Occlusion Start,Occlusion End,Occlusion Duration
0,0.0,0.0001561125558371274,-38.065621660503965,100.0,100.0,100.0,0.0
1,1.0,0.00019796796418501073,-37.0340508298763,100.0,100.0,110.0,10.0
2,2.0,0.00012089776058283859,-39.17581743601787,100.0,100.0,120.0,20.0
3,3.0,0.0002672661754729392,-35.73056000970244,100.0,100.0,130.0,30.0
4,4.0,0.00017904660837365994,-37.47033901284611,100.0,100.0,140.0,40.0
5,5.0,0.00016441086558489156,-37.84069484194828,98.83527454242929,100.0,150.0,50.0
6,6.0,0.00013971069308273804,-38.54770352875757,100.0,100.0,160.0,60.0
7,7.0,0.00010507992185348176,-39.78480258864786,100.0,100.0,170.0,70.0
8,8.0,0.00039743861451264537,-34.00729939805318,98.83527454242929,100.0,180.0,80.0
9,9.0,0.00013183479595158622,-38.79969948654518,100.0,100.0,190.0,90.0
