,index,Mean Squared Error,Mean Squared Error dB,Error in Filter Std,Occlusion Start,Occlusion End,Occlusion Duration
0,0.0,0.00020327612987504714,-36.91913616306325,96.33943427620633,100.0,100.0,0.0
1,1.0,0.00011850857743177385,-39.2625021508446,100.0,100.0,200.0,100.0
2,2.0,0.0151042736351899,-18.209001551185327,100.0,100.0,300.0,200.0
3,3.0,0.17160699111337385,-7.6546502336310756,61.56405990016639,100.0,400.0,300.0
4,4.0,0.23545750815231614,-6.280874564332738,70.88186356073211,100.0,500.0,400.0
5,5.0,0.14281146283131171,-8.45236932303614,56.2396006655574,100.0,600.0,500.0
6,6.0,0.19966089802986717,-6.9970697985950645,66.55574043261231,100.0,700.0,600.0
7,7.0,0.17877048525562092,-7.4770418100254155,64.72545757071548,100.0,800.0,700.0
8,8.0,0.1296442100835196,-8.87246874073394,68.38602329450914,100.0,900.0,800.0
9,9.0,0.14216309458320053,-8.472131314479707,57.237936772046595,100.0,1000.0,900.0
