,theta,phi,dtheta,dphi,position_x,position_y,position_z,timestep
0,1.0,1.0,1.0,1.0,-0.526756,0.03217300000000001,-0.38289000000000006,6.133333
1,1.0,1.0,1.0,1.0,-0.525228,0.030952,-0.3845939999999999,6.141667
2,1.0,1.0,1.0,1.0,-0.523363,0.030407000000000003,-0.387242,6.15
3,1.0,1.0,1.0,1.0,-0.520857,0.029914000000000003,-0.390767,6.158333
4,1.0,1.0,1.0,1.0,-0.517678,0.029484999999999997,-0.394991,6.166667
5,1.0,1.0,1.0,1.0,-0.513443,0.028451999999999998,-0.40004400000000007,6.175
6,1.0,1.0,1.0,1.0,-0.510294,0.027818,-0.4061420000000001,6.183333
7,1.0,1.0,1.0,1.0,-0.50582,0.027281999999999997,-0.4126829999999999,6.191667
8,1.0,1.0,1.0,1.0,-0.500738,0.026692,-0.419921,6.2
9,1.0,1.0,1.0,1.0,-0.495069,0.026012999999999998,-0.42751800000000006,6.208333
10,1.0,1.0,1.0,1.0,-0.489395,0.025033000000000003,-0.43600000000000005,6.216667
11,1.0,1.0,1.0,1.0,-0.482369,0.024439000000000002,-0.44318099999999994,6.225
12,1.0,1.0,1.0,1.0,-0.475309,0.023612999999999995,-0.45055599999999996,6.233333
13,1.0,1.0,1.0,1.0,-0.467945,0.022941999999999997,-0.45771800000000007,6.241667
14,1.0,1.0,1.0,1.0,-0.460391,0.022532,-0.46478699999999995,6.25
15,1.0,1.0,1.0,1.0,-0.452644,0.022023,-0.47199499999999994,6.258333
16,1.0,1.0,1.0,1.0,-0.444634,0.021676,-0.4792169999999999,6.266667
17,1.0,1.0,1.0,1.0,-0.436202,0.021284,-0.486479,6.275
18,1.0,1.0,1.0,1.0,-0.427347,0.020963999999999997,-0.49400599999999995,6.283333
19,1.0,1.0,1.0,1.0,-0.417877,0.020604,-0.5016180000000001,6.291667
20,1.0,1.0,1.0,1.0,-0.407643,0.020186,-0.509475,6.3
21,1.0,1.0,1.0,1.0,-0.39666,0.019433,-0.5176989999999999,6.308333
22,1.0,1.0,1.0,1.0,-0.384948,0.018694999999999996,-0.526164,6.316667
23,1.0,1.0,1.0,1.0,-0.372495,0.017803999999999997,-0.534874,6.325
24,1.0,1.0,1.0,1.0,-0.359425,0.016822,-0.54379,6.333333
25,1.0,1.0,1.0,1.0,-0.345806,0.015772000000000005,-0.5525629999999999,6.341667
26,1.0,1.0,1.0,1.0,-0.331707,0.014678,-0.561226,6.35
27,1.0,1.0,1.0,1.0,-0.316765,0.013950999999999998,-0.569022,6.358333
28,1.0,1.0,1.0,1.0,-0.30214,0.013066999999999999,-0.5766249999999999,6.366667
29,1.0,1.0,1.0,1.0,-0.28722,0.012343,-0.5837519999999999,6.375
30,1.0,1.0,1.0,1.0,-0.272233,0.011531,-0.590326,6.383333
31,1.0,1.0,1.0,1.0,-0.257284,0.010603000000000001,-0.5970339999999998,6.391667
32,1.0,1.0,1.0,1.0,-0.241547,0.009904,-0.6030530000000001,6.4
33,1.0,1.0,1.0,1.0,-0.225336,0.009065,-0.6088389999999999,6.408333
34,1.0,1.0,1.0,1.0,-0.208547,0.008249,-0.614391,6.416667
35,1.0,1.0,1.0,1.0,-0.191126,0.007338999999999998,-0.619744,6.425
36,1.0,1.0,1.0,1.0,-0.172465,0.007175000000000001,-0.623791,6.433333
37,1.0,1.0,1.0,1.0,-0.153843,0.006096000000000001,-0.628376,6.441667
38,1.0,1.0,1.0,1.0,-0.134814,0.005090000000000001,-0.6325020000000001,6.45
39,1.0,1.0,1.0,1.0,-0.115705,0.003965000000000003,-0.6358840000000001,6.458333
40,1.0,1.0,1.0,1.0,-0.09666,0.0030430000000000006,-0.638708,6.466667
41,1.0,1.0,1.0,1.0,-0.077696,0.0020519999999999983,-0.64103,6.475
42,1.0,1.0,1.0,1.0,-0.058972,0.0012250000000000004,-0.642631,6.483333
43,1.0,1.0,1.0,1.0,-0.040329,0.00034400000000000056,-0.6436680000000001,6.491667
44,1.0,1.0,1.0,1.0,-0.021729,-0.00042000000000000023,-0.6440750000000001,6.5
45,1.0,1.0,1.0,1.0,-0.002961,-0.0012180000000000003,-0.6440619999999999,6.508333
46,1.0,1.0,1.0,1.0,0.015822,-0.002172999999999998,-0.643397,6.516667
47,1.0,1.0,1.0,1.0,0.035348,-0.003098,-0.642795,6.525
48,1.0,1.0,1.0,1.0,0.05393,-0.003976,-0.6407299999999999,6.533333
49,1.0,1.0,1.0,1.0,0.073716,-0.0051189999999999986,-0.639186,6.541667
50,1.0,1.0,1.0,1.0,0.092799,-0.006161999999999997,-0.6366669999999999,6.55
51,1.0,1.0,1.0,1.0,0.11149,-0.007285999999999997,-0.633389,6.558333
52,1.0,1.0,1.0,1.0,0.130028,-0.008079999999999997,-0.629827,6.566667
