,theta,phi,dtheta,dphi,position_x,position_y,position_z,timestep
3650,0.5654213845553167,-0.4542979142411764,1.0,1.0,0.238109,0.150595,-0.575552,34.416667
3651,0.5386223441559855,-0.46404860679894216,1.0,1.0,0.246823,0.147046,-0.572756,34.425
3652,0.5138118206988054,-0.4740431447082741,1.0,1.0,0.255272,0.143623,-0.569547,34.433333
3653,0.48847626066809735,-0.4829802856949376,1.0,1.0,0.263446,0.139602,-0.5672730000000001,34.441667
3654,0.4646314724315166,-0.49222769147738554,1.0,1.0,0.271401,0.135651,-0.5645270000000001,34.45
3655,0.44171614691524014,-0.5009779034354508,1.0,1.0,0.27881,0.131474,-0.5616559999999999,34.458333
3656,0.41988000937253434,-0.50988906880304,1.0,1.0,0.286178,0.127421,-0.558953,34.466667
3657,0.39826229298820487,-0.5181845918077317,1.0,1.0,0.293102,0.12300100000000001,-0.5562750000000001,34.475
3658,0.37758372590049594,-0.5261844013879841,1.0,1.0,0.299678,0.118551,-0.5536460000000001,34.483333
3659,0.3568957832865936,-0.5333210768201648,1.0,1.0,0.305693,0.11369299999999999,-0.551207,34.491667
3660,0.3372048053980994,-0.540449797441936,1.0,1.0,0.311534,0.10894599999999999,-0.5487799999999998,34.5
3661,0.31810453940955463,-0.5473827745184945,1.0,1.0,0.317172,0.10416799999999998,-0.5464280000000001,34.508333
3662,0.2994146242081652,-0.5535323428389398,1.0,1.0,0.322285,0.09923,-0.544386,34.516667
3663,0.28066286504518223,-0.5595024715338395,1.0,1.0,0.327172,0.094073,-0.5423060000000002,34.525
3664,0.26286161376524836,-0.5650077323000181,1.0,1.0,0.331654,0.089024,-0.54043,34.533333
3665,0.24402916507435155,-0.5712367398377521,1.0,1.0,0.336189,0.083503,-0.5377259999999999,34.541667
3666,0.22632693591371283,-0.575452964735228,1.0,1.0,0.339787,0.078054,-0.5362119999999999,34.55
3667,0.2099458618537876,-0.5799289452048961,1.0,1.0,0.343401,0.07299,-0.534645,34.558333
3668,0.192877943419428,-0.5818090858242178,1.0,1.0,0.345895,0.067386,-0.5344629999999999,34.566667
3669,0.1764318330647955,-0.5848719051664794,1.0,1.0,0.348468,0.061971000000000005,-0.5332219999999999,34.575
3670,0.15949105473524325,-0.5874639719290686,1.0,1.0,0.350861,0.056297,-0.532341,34.583333
3671,0.1428982551538038,-0.5894129414571813,1.0,1.0,0.352763,0.050631999999999996,-0.5316699999999999,34.591667
3672,0.12657538154324346,-0.5911260209024787,1.0,1.0,0.354543,0.045005,-0.5311629999999999,34.6
3673,0.10897740597517268,-0.5923659167099751,1.0,1.0,0.355796,0.038839,-0.530621,34.608333
3674,0.09370939790905551,-0.5924496614361517,1.0,1.0,0.356428,0.033417,-0.53056,34.616667
