,theta,phi,dtheta,dphi,position_x,position_y,position_z,timestep
0,0.07734359272833687,-0.9859719698794599,1.0,1.0,-0.540483,-0.042095,-0.3607060000000001,4.0
1,0.05414815940894154,-0.9738099751810636,1.0,1.0,-0.538707,-0.029339999999999998,-0.36848500000000006,4.008333
2,0.030228603126755623,-0.9602895115533077,1.0,1.0,-0.535849,-0.01627,-0.376644,4.016667
3,0.005279074782289548,-0.946658761476275,1.0,1.0,-0.53165,-0.002813999999999997,-0.38388900000000004,4.025
4,-0.024356632499967744,-0.9275524733951672,1.0,1.0,-0.520181,0.012691000000000004,-0.39061599999999985,4.033333
5,-0.042099171226815786,-0.9130323100397894,1.0,1.0,-0.516865,0.021772999999999997,-0.39965700000000004,4.041667
6,-0.07149436414932851,-0.8940580264247338,1.0,1.0,-0.506086,0.036217,-0.4072659999999999,4.05
7,-0.08982362829498039,-0.8787957846066791,1.0,1.0,-0.501661,0.045139000000000006,-0.4170090000000001,4.058333
8,-0.1125005446475012,-0.8630216108930497,1.0,1.0,-0.493603,0.05570800000000001,-0.42460399999999987,4.066667
9,-0.13545142277529698,-0.8456192556981312,1.0,1.0,-0.485906,0.066166,-0.4342560000000001,4.075
10,-0.15998146210660777,-0.8277481515139149,1.0,1.0,-0.476232,0.076759,-0.44267500000000015,4.083333
11,-0.18532640075314746,-0.8091925972566073,1.0,1.0,-0.465922,0.087197,-0.4512090000000001,4.091667
12,-0.2110712118126261,-0.7900316214858375,1.0,1.0,-0.454874,0.09723599999999999,-0.45983600000000013,4.1
13,-0.23946143579867515,-0.770653246396036,1.0,1.0,-0.442927,0.10786100000000001,-0.46837799999999996,4.108333
14,-0.2701045194768873,-0.7513533417081429,1.0,1.0,-0.430179,0.118816,-0.476684,4.116667
15,-0.3030910639258874,-0.7322787101592775,1.0,1.0,-0.416901,0.130132,-0.484961,4.125
16,-0.33806473979108875,-0.712947922319707,1.0,1.0,-0.402836,0.14139500000000002,-0.49304800000000004,4.133333
17,-0.37543420545414835,-0.6930986116602403,1.0,1.0,-0.387894,0.152621,-0.501142,4.141667
18,-0.41582107159497145,-0.6728024652663972,1.0,1.0,-0.371955,0.163885,-0.5091640000000001,4.15
19,-0.4572168040051528,-0.653328903537356,1.0,1.0,-0.35554,0.174406,-0.5161180000000001,4.158333
20,-0.499130629147683,-0.632654216773949,1.0,1.0,-0.338555,0.183854,-0.523876,4.166667
21,-0.5412181876826331,-0.6129859913409618,1.0,1.0,-0.321606,0.192483,-0.531187,4.175
22,-0.584530427061589,-0.5942535033168846,1.0,1.0,-0.304589,0.20064,-0.538089,4.183333
23,-0.6299435541980203,-0.5755296726450398,1.0,1.0,-0.286799,0.208088,-0.5444389999999999,4.191667
24,-0.67691205437805,-0.5580086638014673,1.0,1.0,-0.26906,0.215061,-0.5500579999999999,4.2
25,-0.7286604868236636,-0.5400278717143497,1.0,1.0,-0.250107,0.221832,-0.555736,4.208333
26,-0.7848015686478962,-0.5231322359224272,1.0,1.0,-0.230397,0.22866199999999998,-0.561044,4.216667
27,-0.8453663705800355,-0.507920349511593,1.0,1.0,-0.209871,0.235498,-0.5654489999999999,4.225
28,-0.9114443244309494,-0.49180971659340794,1.0,1.0,-0.188088,0.241721,-0.570873,4.233333
29,-0.9803826531296596,-0.4799868613645258,1.0,1.0,-0.166823,0.24816500000000002,-0.573841,4.241667
30,-1.0524763839814082,-0.4684288290826818,1.0,1.0,-0.145024,0.25352199999999997,-0.576802,4.25
31,-1.1266169306999216,-0.4588471372592015,1.0,1.0,-0.12337,0.258363,-0.5791899999999999,4.258333
32,-1.2023863283136729,-0.4505668257797352,1.0,1.0,-0.101638,0.26224299999999995,-0.5810900000000001,4.266667
33,-1.2793512779981593,-0.4440776668228433,1.0,1.0,-0.080011,0.26556799999999997,-0.582759,4.275
34,-1.356996301996774,-0.43832608042171617,1.0,1.0,-0.058406,0.267596,-0.5841879999999999,4.283333
35,-1.4364098717408949,-0.4353103103497134,1.0,1.0,-0.036777,0.26945,-0.584654,4.291667
36,-1.5177289699083492,-0.43372641522982797,1.0,1.0,-0.014716,0.27060900000000004,-0.5851170000000001,4.3
37,1.5410261191559185,-0.43517704584351874,1.0,1.0,0.007618,0.27149999999999996,-0.5842529999999999,4.308333
38,1.4598922655420887,-0.43926706505067437,1.0,1.0,0.029821,0.272115,-0.5826889999999999,4.316667
39,1.3794765778284448,-0.4457026057514119,1.0,1.0,0.052163,0.272339,-0.58062,4.325
40,1.3022802290137325,-0.45477464588811106,1.0,1.0,0.074464,0.272284,-0.5775629999999999,4.333333
41,1.2282290145994068,-0.4645610190482609,1.0,1.0,0.096354,0.27126300000000003,-0.574681,4.341667
42,1.1569614815957578,-0.47680983350390516,1.0,1.0,0.118199,0.26986,-0.5705800000000001,4.35
43,1.0903183406052042,-0.489103218054194,1.0,1.0,0.139318,0.267502,-0.566773,4.358333
44,1.027523500297763,-0.5020999133088724,1.0,1.0,0.159739,0.264407,-0.5625879999999999,4.366667
45,0.9683947030461303,-0.5165066314823503,1.0,1.0,0.179767,0.261059,-0.5578620000000001,4.375
46,0.9105689542604619,-0.5313231589663191,1.0,1.0,0.199651,0.256703,-0.5530090000000001,4.383333
47,0.8559087178748722,-0.5471389941486154,1.0,1.0,0.219038,0.251878,-0.547526,4.391667
