,theta,phi,dtheta,dphi,position_x,position_y,position_z,timestep
1091,1.0,1.0,1.0,1.0,0.451186,0.028635,-0.44779499999999994,15.225
1092,1.0,1.0,1.0,1.0,0.451706,0.028843,-0.44728800000000013,15.233333
1093,1.0,1.0,1.0,1.0,0.451853,0.029108999999999996,-0.44710099999999997,15.241667
1094,1.0,1.0,1.0,1.0,0.451107,0.028225000000000004,-0.4483419999999999,15.25
1095,1.0,1.0,1.0,1.0,0.450627,0.028617000000000004,-0.448782,15.258333
1096,1.0,1.0,1.0,1.0,0.450468,0.030172,-0.44856299999999993,15.266667
1097,1.0,1.0,1.0,1.0,0.44853,0.029224999999999998,-0.4508249999999999,15.275
1098,1.0,1.0,1.0,1.0,0.446856,0.028968,-0.45265600000000006,15.283333
1099,1.0,1.0,1.0,1.0,0.445598,0.030608999999999997,-0.4533799999999999,15.291667
1100,1.0,1.0,1.0,1.0,0.44266,0.029540999999999998,-0.456882,15.3
1101,1.0,1.0,1.0,1.0,0.440636,0.030835999999999995,-0.4585309999999999,15.308333
1102,1.0,1.0,1.0,1.0,0.437508,0.030899000000000003,-0.46128,15.316667
1103,1.0,1.0,1.0,1.0,0.433974,0.030585000000000005,-0.46506500000000006,15.325
1104,1.0,1.0,1.0,1.0,0.430258,0.030713,-0.4685960000000001,15.333333
1105,1.0,1.0,1.0,1.0,0.426212,0.030861000000000003,-0.472098,15.341667
1106,1.0,1.0,1.0,1.0,0.421629,0.030952999999999998,-0.4763830000000001,15.35
1107,1.0,1.0,1.0,1.0,0.416583,0.030952,-0.48103699999999994,15.358333
1108,1.0,1.0,1.0,1.0,0.411067,0.030805,-0.4860570000000001,15.366667
1109,1.0,1.0,1.0,1.0,0.405145,0.030376,-0.49099899999999996,15.375
1110,1.0,1.0,1.0,1.0,0.399374,0.030618,-0.495768,15.383333
1111,1.0,1.0,1.0,1.0,0.392623,0.030417999999999997,-0.5015100000000001,15.391667
1112,1.0,1.0,1.0,1.0,0.385576,0.030231,-0.507027,15.4
1113,1.0,1.0,1.0,1.0,0.378199,0.030178,-0.5125330000000001,15.408333
1114,1.0,1.0,1.0,1.0,0.370321,0.029824,-0.518636,15.416667
1115,1.0,1.0,1.0,1.0,0.362068,0.029466999999999997,-0.5246259999999999,15.425
1116,1.0,1.0,1.0,1.0,0.353228,0.029098,-0.53096,15.433333
1117,1.0,1.0,1.0,1.0,0.344214,0.028900000000000002,-0.5370299999999999,15.441667
1118,1.0,1.0,1.0,1.0,0.334594,0.028833,-0.543006,15.45
1119,1.0,1.0,1.0,1.0,0.324531,0.028008,-0.5497280000000001,15.458333
1120,1.0,1.0,1.0,1.0,0.314075,0.027585000000000002,-0.555837,15.466667
1121,1.0,1.0,1.0,1.0,0.303415,0.027502000000000002,-0.5616810000000001,15.475
1122,1.0,1.0,1.0,1.0,0.292117,0.026955,-0.568122,15.483333
1123,1.0,1.0,1.0,1.0,0.280507,0.026441999999999997,-0.574168,15.491667
1124,1.0,1.0,1.0,1.0,0.26794,0.02609,-0.5810500000000001,15.5
1125,1.0,1.0,1.0,1.0,0.255061,0.025443999999999998,-0.587307,15.508333
