Frame,Time,Top_X,Top_Y,Top_Z,Pendulum_X,Pendulum_Y,Pendulum_Z
947,7.891667,-0.000858,1.021947,0.024978,0.584941,0.78644,0.09405
948,7.9,-0.00031,1.021872,0.02494,0.576601,0.767391,0.094322
949,7.908333,0.000059,1.021841,0.024952,0.568183,0.749808,0.094236
950,7.916667,0.000288,1.021724,0.024902,0.559671,0.732759,0.09345
951,7.925,0.000356,1.021731,0.024892,0.55188,0.717137,0.093504
952,7.933333,0.000385,1.021749,0.024897,0.542669,0.699039,0.091019
953,7.941667,0.00057,1.021675,0.024945,0.533767,0.682199,0.089196
954,7.95,0.000703,1.021592,0.024883,0.524112,0.665992,0.087804
955,7.958333,0.000984,1.021552,0.024843,0.513465,0.649232,0.08477
956,7.966667,0.001283,1.02149,0.024872,0.501194,0.632868,0.08326
957,7.975,0.001229,1.021461,0.02477,0.487319,0.61599,0.081864
958,7.983333,0.001338,1.021646,0.02482,0.472318,0.598004,0.080549
959,7.991667,0.001183,1.021643,0.024802,0.45808,0.582253,0.083278
960,8,0.00112,1.021479,0.024813,0.438228,0.560509,0.078985
961,8.008333,0.001138,1.021316,0.024917,0.419939,0.542989,0.079112
962,8.016667,0.001279,1.021073,0.024931,0.400028,0.525079,0.077064
963,8.025,0.001471,1.02108,0.024929,0.379719,0.508548,0.074631
964,8.033333,0.001723,1.021257,0.024972,0.35917,0.493366,0.071756
965,8.041667,0.00178,1.021261,0.024992,0.338024,0.47827,0.06811
966,8.05,0.001938,1.02111,0.02508,0.317252,0.465698,0.066112
967,8.058333,0.001863,1.020761,0.025065,0.294886,0.452694,0.063425
968,8.066667,0.001917,1.020554,0.025094,0.270805,0.439831,0.059791
969,8.075,0.001809,1.020653,0.02508,0.244535,0.426051,0.057489
970,8.083333,0.001692,1.020729,0.025021,0.217986,0.415687,0.055447
971,8.091667,0.001514,1.020811,0.02506,0.190685,0.406994,0.053389
972,8.1,0.001333,1.020726,0.025077,0.16328,0.398616,0.050644
973,8.108333,0.001122,1.020609,0.025144,0.135501,0.391741,0.047675
974,8.116667,0.000988,1.020595,0.025155,0.106372,0.382952,0.04214
975,8.125,0.000929,1.020634,0.025119,0.079233,0.377946,0.038781
976,8.133333,0.00091,1.020715,0.025107,0.052919,0.377521,0.037157
977,8.141667,0.000892,1.020698,0.025119,0.024982,0.375586,0.033688
978,8.15,0.000747,1.020688,0.025049,-0.00351,0.374815,0.030624
979,8.158333,0.000629,1.020719,0.025119,-0.032529,0.375176,0.027848
980,8.166667,0.000558,1.020707,0.025141,-0.063504,0.374402,0.023753
981,8.175,0.000531,1.020682,0.025146,-0.093204,0.377638,0.020988
982,8.183333,0.000552,1.020592,0.025192,-0.122119,0.38227,0.018395
983,8.191667,0.000506,1.020612,0.025165,-0.150122,0.387917,0.01538
984,8.2,0.000405,1.020706,0.025126,-0.177054,0.394424,0.012332
985,8.208333,0.000176,1.020755,0.025111,-0.20335,0.40672,0.010358
986,8.216667,-0.000004,1.020824,0.025101,-0.228858,0.410349,0.006309
987,8.225,-0.000208,1.020766,0.025051,-0.254184,0.420079,0.003137
988,8.233333,-0.00053,1.020631,0.02498,-0.279257,0.430957,0.000547
989,8.241667,-0.000684,1.020669,0.024909,-0.303888,0.442691,-0.00204
