Frame,Time,Pendulum_X,Pendulum_Y,Pendulum_Z,Top_X,Top_Y,Top_Z
563,4.691667,0.542321,0.699392,-0.058069,0.000606,1.021077,0.025518
564,4.7,0.54128,0.700546,-0.068217,0.000448,1.021164,0.025592
565,4.708333,0.539786,0.701278,-0.0785,0.000389,1.021162,0.025602
566,4.716667,0.537878,0.701274,-0.088897,0.000315,1.021162,0.025622
567,4.725,0.535512,0.700954,-0.099079,0.00031,1.021171,0.025616
568,4.733333,0.532677,0.700169,-0.109178,0.000294,1.021235,0.025577
569,4.741667,0.529634,0.698785,-0.119112,0.000322,1.021244,0.025576
570,4.75,0.525566,0.695795,-0.130217,0.000338,1.021277,0.025538
571,4.758333,0.52161,0.693639,-0.139876,0.000386,1.021269,0.025534
572,4.766667,0.517151,0.691152,-0.149392,0.000554,1.021152,0.025512
573,4.775,0.512856,0.689656,-0.157266,0.000619,1.021148,0.0255
574,4.783333,0.507581,0.686208,-0.166327,0.000655,1.021149,0.025496
575,4.791667,0.501327,0.681046,-0.176633,0.000668,1.021153,0.025495
576,4.8,0.495781,0.677097,-0.185139,0.000641,1.021144,0.025505
577,4.808333,0.488324,0.672267,-0.194081,0.000519,1.021217,0.025468
578,4.816667,0.481845,0.667737,-0.202061,0.000468,1.021204,0.025479
579,4.825,0.47402,0.662558,-0.21025,0.000428,1.021201,0.025491
580,4.833333,0.465876,0.656996,-0.218171,0.000357,1.02124,0.025562
581,4.841667,0.457104,0.651052,-0.22579,0.000315,1.02124,0.025564
582,4.85,0.447914,0.644669,-0.233294,0.000269,1.021221,0.025565
583,4.858333,0.438157,0.638166,-0.24019,0.000228,1.021218,0.025574
584,4.866667,0.428238,0.631859,-0.246927,0.000222,1.021226,0.025571
585,4.875,0.417572,0.624636,-0.253638,0.000223,1.021232,0.025562
586,4.883333,0.406606,0.61706,-0.259903,0.000253,1.021234,0.025555
587,4.891667,0.394943,0.609409,-0.265647,0.000348,1.021188,0.025482
588,4.9,0.382738,0.601648,-0.270995,0.000393,1.021171,0.025477
589,4.908333,0.369913,0.592998,-0.276154,0.000433,1.021174,0.025469
590,4.916667,0.356894,0.584959,-0.280587,0.00051,1.021115,0.025481
591,4.925,0.343324,0.576797,-0.284722,0.00051,1.021126,0.0255
