Format Version,1.21,Take Name,Run_3_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.47.58 AM,Total Frames in Take,4035,Total Exported Frames,4035,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
51,0.425000,-0.016284,1.024490,0.022377,0.404279,0.582673,-0.086791,1.865023,0.017956,0.351874
52,0.433333,-0.016267,1.024527,0.022335,0.404276,0.582647,-0.086729,1.864931,0.017980,0.351893
53,0.441667,-0.016212,1.024511,0.022367,0.404317,0.582598,-0.086607,1.865006,0.017959,0.351877
54,0.450000,-0.016253,1.024526,0.022286,0.404397,0.582596,-0.086446,1.865050,0.017940,0.351866
55,0.458333,-0.016170,1.024513,0.022362,0.404466,0.582575,-0.086261,1.864983,0.017957,0.351881
56,0.466667,-0.016226,1.024473,0.022322,0.404471,0.582579,-0.086124,1.864958,0.017970,0.351886
57,0.475000,-0.016186,1.024505,0.022365,0.404464,0.582589,-0.085999,1.864997,0.017945,0.351875
58,0.483333,-0.016271,1.024454,0.022326,0.404588,0.582616,-0.085731,1.865057,0.017932,0.351862
59,0.491667,-0.016312,1.024488,0.022316,0.404593,0.582613,-0.085612,1.865021,0.017950,0.351876
60,0.500000,-0.016292,1.024411,0.022412,0.404598,0.582624,-0.085467,1.864976,0.017961,0.351883
61,0.508333,-0.016312,1.024406,0.022418,0.404604,0.582612,-0.085351,1.864995,0.017957,0.351877
62,0.516667,-0.016311,1.024396,0.022421,0.404665,0.582660,-0.085162,1.865066,0.017932,0.351863
63,0.525000,-0.016325,1.024400,0.022433,0.404692,0.582659,-0.085066,1.865001,0.017974,0.351882
64,0.533333,-0.016313,1.024394,0.022430,0.404786,0.582711,-0.084864,1.864995,0.017958,0.351878
65,0.541667,-0.016312,1.024396,0.022427,0.404803,0.582722,-0.084745,1.865069,0.017905,0.351856
66,0.550000,-0.016290,1.024417,0.022428,0.404822,0.582728,-0.084607,1.865015,0.017945,0.351873
67,0.558333,-0.016254,1.024485,0.022393,0.404835,0.582697,-0.084449,1.864980,0.017959,0.351882
68,0.566667,-0.016251,1.024482,0.022372,0.404843,0.582718,-0.084309,1.865029,0.017918,0.351866
69,0.575000,-0.016224,1.024553,0.022341,0.404850,0.582679,-0.084150,1.865049,0.017937,0.351867
70,0.583333,-0.016256,1.024535,0.022309,0.404854,0.582693,-0.083982,1.865087,0.017901,0.351848
71,0.591667,-0.016293,1.024576,0.022263,0.405000,0.582712,-0.083669,1.864980,0.017974,0.351885
72,0.600000,-0.016301,1.024568,0.022257,0.405067,0.582736,-0.083423,1.865009,0.017942,0.351872
73,0.608333,-0.016319,1.024573,0.022261,0.405132,0.582763,-0.083158,1.865012,0.017956,0.351876
74,0.616667,-0.016354,1.024565,0.022269,0.405174,0.582729,-0.082913,1.865023,0.017943,0.351872
75,0.625000,-0.016348,1.024520,0.022319,0.405180,0.582710,-0.082742,1.864946,0.017976,0.351889
76,0.633333,-0.016357,1.024438,0.022345,0.405240,0.582650,-0.082499,1.865041,0.017945,0.351869
77,0.641667,-0.016370,1.024430,0.022358,0.405302,0.582600,-0.082225,1.864955,0.017979,0.351892
78,0.650000,-0.016323,1.024410,0.022421,0.405408,0.582588,-0.081941,1.865093,0.017898,0.351848
79,0.658333,-0.016302,1.024464,0.022410,0.405501,0.582632,-0.081676,1.864991,0.017952,0.351878
80,0.666667,-0.016284,1.024403,0.022431,0.405459,0.582570,-0.081494,1.864937,0.017987,0.351897
81,0.675000,-0.016259,1.024409,0.022437,0.405601,0.582650,-0.081171,1.864947,0.017991,0.351896
82,0.683333,-0.016237,1.024409,0.022433,0.405638,0.582622,-0.080950,1.865021,0.017953,0.351874
83,0.691667,-0.016220,1.024412,0.022428,0.405657,0.582570,-0.080753,1.864978,0.017964,0.351883
84,0.700000,-0.016194,1.024426,0.022417,0.405718,0.582535,-0.080535,1.865028,0.017945,0.351872
85,0.708333,-0.016174,1.024425,0.022406,0.405792,0.582503,-0.080317,1.865061,0.017927,0.351863
86,0.716667,-0.016170,1.024430,0.022403,0.405838,0.582344,-0.080096,1.864946,0.017968,0.351891
87,0.725000,-0.016118,1.024392,0.022379,0.405822,0.582314,-0.079954,1.864970,0.017960,0.351883
88,0.733333,-0.016129,1.024388,0.022385,0.405875,0.582240,-0.079781,1.865030,0.017946,0.351871
89,0.741667,-0.016135,1.024386,0.022388,0.405860,0.582224,-0.079640,1.864978,0.017974,0.351886
90,0.750000,-0.016185,1.024422,0.022407,0.405925,0.582161,-0.079437,1.865009,0.017961,0.351881
91,0.758333,-0.016146,1.024372,0.022395,0.406021,0.582158,-0.079242,1.864993,0.017956,0.351881
92,0.766667,-0.016145,1.024365,0.022408,0.406018,0.582153,-0.079116,1.864899,0.018007,0.351909
93,0.775000,-0.016137,1.024344,0.022413,0.406134,0.582157,-0.078920,1.864984,0.017976,0.351887
94,0.783333,-0.016127,1.024338,0.022416,0.406159,0.582136,-0.078822,1.864979,0.017972,0.351887
95,0.791667,-0.016112,1.024336,0.022421,0.406251,0.582199,-0.078673,1.865007,0.017954,0.351875
96,0.800000,-0.016085,1.024329,0.022426,0.406363,0.582236,-0.078515,1.864980,0.017974,0.351886
97,0.808333,-0.016022,1.024332,0.022492,0.406385,0.582242,-0.078423,1.864987,0.017960,0.351882
98,0.816667,-0.016007,1.024339,0.022492,0.406413,0.582245,-0.078316,1.865056,0.017942,0.351868
99,0.825000,-0.016049,1.024326,0.022418,0.406460,0.582257,-0.078205,1.864964,0.017992,0.351895
100,0.833333,-0.015974,1.024340,0.022486,0.406499,0.582250,-0.078091,1.865024,0.017978,0.351881
101,0.841667,-0.015961,1.024335,0.022465,0.406543,0.582252,-0.077965,1.865021,0.017950,0.351872
102,0.850000,-0.016026,1.024338,0.022405,0.406579,0.582263,-0.077874,1.865050,0.017931,0.351862
103,0.858333,-0.015972,1.024351,0.022460,0.406594,0.582275,-0.077756,1.865029,0.017937,0.351868
104,0.866667,-0.016043,1.024347,0.022395,0.406661,0.582282,-0.077640,1.865007,0.017932,0.351870
105,0.875000,-0.016046,1.024345,0.022400,0.406687,0.582286,-0.077558,1.865044,0.017937,0.351865
106,0.883333,-0.016053,1.024342,0.022396,0.406728,0.582275,-0.077505,1.864960,0.017999,0.351898
107,0.891667,-0.016052,1.024341,0.022399,0.406879,0.582245,-0.077323,1.864996,0.017935,0.351874
108,0.900000,-0.015983,1.024333,0.022432,0.406887,0.582328,-0.077299,1.864941,0.017984,0.351895
109,0.908333,-0.016035,1.024331,0.022420,0.406894,0.582275,-0.077264,1.865047,0.017918,0.351862
110,0.916667,-0.015975,1.024339,0.022483,0.406888,0.582266,-0.077257,1.864976,0.017965,0.351885
111,0.925000,-0.015975,1.024327,0.022483,0.406892,0.582232,-0.077244,1.864997,0.017970,0.351880
112,0.933333,-0.015962,1.024321,0.022486,0.406886,0.582193,-0.077256,1.865016,0.017939,0.351872
113,0.941667,-0.015922,1.024313,0.022538,0.406859,0.582137,-0.077268,1.865022,0.017946,0.351871
114,0.950000,-0.015907,1.024312,0.022530,0.406761,0.582072,-0.077373,1.865060,0.017938,0.351862
115,0.958333,-0.015920,1.024316,0.022481,0.406586,0.581920,-0.077524,1.864986,0.017990,0.351891
116,0.966667,-0.015922,1.024321,0.022484,0.406446,0.581790,-0.077642,1.864978,0.017971,0.351886
117,0.975000,-0.015902,1.024306,0.022519,0.406291,0.581698,-0.077767,1.864972,0.017972,0.351888
118,0.983333,-0.015932,1.024307,0.022470,0.406105,0.581524,-0.077927,1.864968,0.017974,0.351890
119,0.991667,-0.015931,1.024323,0.022478,0.405924,0.581317,-0.078041,1.865074,0.017920,0.351857
120,1.000000,-0.015916,1.024320,0.022435,0.405700,0.581058,-0.078178,1.864937,0.018006,0.351906
121,1.008333,-0.015929,1.024315,0.022470,0.405278,0.580737,-0.078548,1.864938,0.017984,0.351899
122,1.016667,-0.015920,1.024300,0.022429,0.405065,0.580403,-0.078772,1.865000,0.017962,0.351883
123,1.025000,-0.015929,1.024307,0.022472,0.404828,0.580119,-0.079049,1.864945,0.017981,0.351895
124,1.033333,-0.015925,1.024315,0.022484,0.404067,0.579616,-0.079806,1.864970,0.017962,0.351887
