Frame,Time,Pendulum_X,Pendulum_Y,Pendulum_Z,Top_X,Top_Y,Top_Z
81,0.675,-0.008858,0.377334,0.028922,-0.001049,1.021321,0.024704
82,0.683333,-0.008828,0.377358,0.028919,-0.001059,1.02132,0.024709
83,0.691667,-0.0088,0.377299,0.028945,-0.00105,1.021315,0.024711
84,0.7,-0.008763,0.377279,0.028982,-0.001054,1.021313,0.024709
85,0.708333,-0.008751,0.377333,0.028953,-0.001053,1.021313,0.024703
86,0.716667,-0.008758,0.377306,0.028946,-0.001056,1.021321,0.02471
87,0.725,-0.008709,0.377307,0.028991,-0.00106,1.021319,0.024704
88,0.733333,-0.008704,0.377315,0.028997,-0.001057,1.021317,0.024706
89,0.741667,-0.008699,0.377318,0.029008,-0.001063,1.02132,0.024707
90,0.75,-0.008718,0.377276,0.029006,-0.001056,1.021316,0.024705
91,0.758333,-0.008719,0.377281,0.029014,-0.001065,1.021314,0.024706
92,0.766667,-0.008719,0.377285,0.029024,-0.001059,1.02132,0.024706
93,0.775,-0.008715,0.377277,0.029025,-0.001063,1.021315,0.024704
94,0.783333,-0.008709,0.377324,0.029022,-0.00106,1.021324,0.024706
95,0.791667,-0.008779,0.377309,0.028957,-0.001063,1.021326,0.024706
96,0.8,-0.008799,0.376984,0.029135,-0.001066,1.021329,0.024714
97,0.808333,-0.008805,0.376971,0.02914,-0.001059,1.021329,0.0247
98,0.816667,-0.008815,0.376969,0.029147,-0.001066,1.021318,0.024708
99,0.825,-0.008838,0.376974,0.029169,-0.001081,1.021313,0.024701
100,0.833333,-0.008861,0.376968,0.029201,-0.00106,1.021315,0.024703
101,0.841667,-0.008868,0.376969,0.029204,-0.001063,1.021311,0.024696
102,0.85,-0.008884,0.37699,0.02922,-0.001052,1.021322,0.024699
103,0.858333,-0.008905,0.377013,0.029244,-0.00105,1.02133,0.024707
104,0.866667,-0.008949,0.377006,0.029278,-0.001048,1.02133,0.024709
105,0.875,-0.008955,0.376992,0.029285,-0.001061,1.021311,0.024705
106,0.883333,-0.00897,0.376987,0.029304,-0.00107,1.021311,0.024708
107,0.891667,-0.009004,0.37698,0.029319,-0.001064,1.021312,0.024707
108,0.9,-0.009033,0.376981,0.029343,-0.001064,1.021314,0.024716
109,0.908333,-0.009092,0.377034,0.029357,-0.001072,1.02131,0.024708
110,0.916667,-0.009133,0.377031,0.029363,-0.001059,1.021329,0.02471
111,0.925,-0.009161,0.377023,0.029379,-0.001066,1.02132,0.024708
112,0.933333,-0.009175,0.377007,0.029399,-0.001079,1.021313,0.024708
113,0.941667,-0.009215,0.377007,0.029402,-0.001075,1.021319,0.024707
114,0.95,-0.009253,0.377022,0.029414,-0.001075,1.021315,0.024703
115,0.958333,-0.009287,0.37702,0.029435,-0.001063,1.021314,0.024712
116,0.966667,-0.009327,0.377009,0.02944,-0.001068,1.02132,0.024708
