Format Version,1.21,Take Name,Run_2_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.46.50 AM,Total Frames in Take,6637,Total Exported Frames,6637,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
47,0.391667,-0.025116,0.412693,0.044735,-0.017862,1.024904,0.021773,1.864989,0.017919,0.351868,,,
48,0.400000,-0.024830,0.412696,0.045492,-0.017862,1.024897,0.021771,1.864553,0.017794,0.351775,,,
49,0.408333,-0.024791,0.412734,0.046069,-0.017810,1.024843,0.021796,1.865047,0.017904,0.351855,,,
50,0.416667,-0.024621,0.412752,0.046749,-0.017877,1.024792,0.021768,1.864954,0.017959,0.351887,,,
51,0.425000,-0.024537,0.412813,0.047373,-0.017890,1.024788,0.021774,1.865009,0.017918,0.351867,,,
52,0.433333,-0.024498,0.412887,0.047823,-0.018014,1.024774,0.021723,1.865020,0.017917,0.351867,,,
53,0.441667,-0.024281,0.412781,0.048525,-0.017963,1.024836,0.021763,1.864574,0.017790,0.351769,,,
54,0.450000,-0.024175,0.412807,0.049106,-0.018032,1.024785,0.021727,1.864539,0.017805,0.351776,,,
55,0.458333,-0.024040,0.412929,0.049608,-0.017921,1.024894,0.021793,1.865009,0.017924,0.351869,,,
56,0.466667,-0.023959,0.413009,0.050051,-0.018028,1.024889,0.021769,1.864530,0.017799,0.351774,,,
57,0.475000,-0.023930,0.413041,0.050434,-0.017967,1.024959,0.021805,1.865005,0.017918,0.351868,,,
58,0.483333,-0.023763,0.412938,0.050953,-0.017972,1.024962,0.021794,1.864960,0.017944,0.351883,,,
59,0.491667,-0.023569,0.413017,0.051489,-0.017917,1.024925,0.021769,1.865017,0.017914,0.351867,,,
60,0.500000,-0.023492,0.413063,0.051790,-0.017964,1.024975,0.021775,1.864497,0.017824,0.351790,,,
61,0.508333,-0.023348,0.413106,0.052208,-0.017966,1.024986,0.021773,1.865096,0.017895,0.351847,,,
62,0.516667,-0.023214,0.413156,0.052599,-0.017957,1.024977,0.021770,1.864465,0.017826,0.351795,,,
63,0.525000,-0.023162,0.413009,0.052912,-0.017955,1.024988,0.021775,1.865099,0.017883,0.351842,,,
64,0.533333,-0.023011,0.413052,0.053145,-0.017899,1.024934,0.021759,1.864936,0.017955,0.351889,,,
65,0.541667,-0.022925,0.413044,0.053352,-0.017901,1.024925,0.021760,1.865000,0.017921,0.351867,,,
66,0.550000,-0.022785,0.413071,0.053564,-0.017912,1.024922,0.021764,1.864502,0.017805,0.351782,,,
67,0.558333,-0.022666,0.413161,0.053746,-0.017961,1.024956,0.021789,1.865015,0.017920,0.351865,,,
68,0.566667,-0.022444,0.413270,0.054049,-0.017921,1.024908,0.021781,1.864540,0.017792,0.351773,,,
69,0.575000,-0.022362,0.413277,0.054178,-0.018031,1.024898,0.021767,1.865011,0.017929,0.351867,,,
70,0.583333,-0.022291,0.413298,0.054248,-0.018046,1.024885,0.021773,1.864550,0.017804,0.351774,,,
71,0.591667,-0.022346,0.413321,0.054239,-0.017982,1.024946,0.021808,1.865024,0.017915,0.351863,,,
72,0.600000,-0.022009,0.413107,0.054650,-0.018047,1.024887,0.021774,1.865107,0.017872,0.351838,,,
73,0.608333,-0.021888,0.413077,0.054690,-0.018043,1.024894,0.021748,1.864912,0.017965,0.351896,,,
74,0.616667,-0.021791,0.413082,0.054751,-0.017978,1.024955,0.021774,1.865036,0.017919,0.351862,,,
75,0.625000,-0.021705,0.413093,0.054705,-0.017924,1.024915,0.021747,1.865023,0.017913,0.351864,,,
76,0.633333,-0.021586,0.413062,0.054709,-0.017964,1.024959,0.021764,1.865055,0.017914,0.351858,,,
77,0.641667,-0.021502,0.413050,0.054595,-0.017913,1.024919,0.021743,1.865015,0.017920,0.351865,,,
