Format Version,1.21,Take Name,Run_1_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.45.57 AM,Total Frames in Take,4156,Total Exported Frames,4156,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103,Unlabeled:104,Unlabeled:104,Unlabeled:104
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
43,0.358333,-0.024202,0.412051,0.029267,-0.018053,1.024971,0.021694,1.864613,0.017728,0.351744,,,,,,
44,0.366667,-0.024193,0.412049,0.029264,-0.018006,1.025050,0.021695,1.865084,0.017849,0.351834,,,,,,
45,0.375000,-0.024179,0.412050,0.029260,-0.017997,1.025031,0.021733,1.864569,0.017740,0.351756,,,,,,
46,0.383333,-0.024172,0.412051,0.029263,-0.017990,1.025042,0.021743,1.864530,0.017733,0.351760,,,,,,
47,0.391667,-0.024165,0.412056,0.029259,-0.017997,1.025029,0.021734,1.864481,0.017795,0.351783,,,,,,
48,0.400000,-0.024148,0.412050,0.029258,-0.017994,1.025031,0.021734,1.865087,0.017823,0.351829,,,,,,
49,0.408333,-0.024141,0.412054,0.029260,-0.017992,1.025036,0.021738,1.864608,0.017703,0.351740,,,,,,
50,0.416667,-0.024131,0.412057,0.029263,-0.017990,1.025031,0.021735,1.864595,0.017719,0.351743,,,,,,
51,0.425000,-0.024124,0.412061,0.029261,-0.018010,1.025023,0.021736,1.864565,0.017743,0.351757,,,,,,
52,0.433333,-0.024119,0.412057,0.029263,-0.017997,1.025031,0.021736,1.864648,0.017706,0.351735,,,,,,
53,0.441667,-0.024113,0.412054,0.029272,-0.017996,1.025034,0.021730,1.864632,0.017723,0.351743,,,,,,
54,0.450000,-0.024107,0.412056,0.029280,-0.017997,1.025030,0.021734,1.864533,0.017775,0.351770,,,,,,
55,0.458333,-0.024051,0.412096,0.029316,-0.017999,1.025035,0.021728,1.864549,0.017753,0.351761,,,,,,
56,0.466667,-0.024050,0.412080,0.029328,-0.017995,1.025026,0.021734,1.865084,0.017851,0.351839,,,,,,
57,0.475000,-0.024046,0.412097,0.029326,-0.017997,1.025029,0.021732,1.865173,0.017791,0.351807,,,,,,
58,0.483333,-0.024040,0.412096,0.029333,-0.017993,1.025034,0.021733,1.864482,0.017796,0.351783,,,,,,
59,0.491667,-0.024043,0.412106,0.029342,-0.017992,1.025028,0.021728,1.865075,0.017865,0.351841,,,,,,
60,0.500000,-0.024034,0.412102,0.029348,-0.017992,1.025025,0.021732,1.865091,0.017859,0.351836,,,,,,
61,0.508333,-0.023989,0.412117,0.029404,-0.018000,1.025030,0.021731,1.864675,0.017678,0.351723,,,,,,
62,0.516667,-0.024035,0.412099,0.029365,-0.017990,1.025033,0.021729,1.864522,0.017789,0.351777,,,,,,
63,0.525000,-0.024036,0.412098,0.029369,-0.017989,1.025032,0.021736,1.864574,0.017734,0.351753,,,,,,
64,0.533333,-0.023988,0.412126,0.029432,-0.017990,1.025030,0.021732,1.865099,0.017865,0.351838,,,,,,
65,0.541667,-0.023987,0.412129,0.029440,-0.017993,1.025031,0.021738,1.864640,0.017717,0.351736,,,,,,
66,0.550000,-0.023986,0.412127,0.029446,-0.017991,1.025022,0.021732,1.864506,0.017798,0.351783,,,,,,
67,0.558333,-0.024022,0.412147,0.029495,-0.017996,1.025035,0.021729,1.864547,0.017753,0.351764,,,,,,
68,0.566667,-0.024029,0.412154,0.029505,-0.018010,1.025040,0.021692,1.864525,0.017780,0.351772,,,,,,
69,0.575000,-0.024030,0.412157,0.029524,-0.018013,1.025041,0.021692,1.864624,0.017729,0.351741,,,,,,
70,0.583333,-0.024035,0.412153,0.029531,-0.018000,1.025024,0.021737,1.865094,0.017847,0.351834,,,,,,
71,0.591667,-0.024040,0.412157,0.029543,-0.017996,1.025026,0.021732,1.864560,0.017758,0.351761,,,,,,
72,0.600000,-0.024049,0.412162,0.029561,-0.017995,1.025033,0.021732,1.864628,0.017700,0.351734,,,,,,
73,0.608333,-0.024053,0.412160,0.029570,-0.017999,1.025024,0.021730,1.864484,0.017807,0.351788,,,,,,
74,0.616667,-0.024067,0.412161,0.029583,-0.018015,1.025046,0.021693,1.865070,0.017850,0.351837,,,,,,
75,0.625000,-0.024069,0.412167,0.029598,-0.017994,1.025028,0.021740,1.865010,0.017888,0.351857,,,,,,
76,0.633333,-0.024085,0.412162,0.029616,-0.017997,1.025026,0.021734,1.864586,0.017733,0.351750,,,,,,
77,0.641667,-0.024088,0.412164,0.029635,-0.017999,1.025026,0.021739,1.865090,0.017817,0.351827,,,,,,
78,0.650000,-0.024102,0.412168,0.029656,-0.017999,1.025028,0.021733,1.864498,0.017785,0.351778,,,,,,
79,0.658333,-0.024122,0.412128,0.029679,-0.017994,1.025029,0.021736,1.864593,0.017727,0.351750,,,,,,
80,0.666667,-0.024169,0.412165,0.029717,-0.017992,1.025033,0.021740,1.864573,0.017743,0.351754,,,,,,
