Format Version,1.21,Take Name,Run_1_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.45.57 AM,Total Frames in Take,4156,Total Exported Frames,4156,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103,Unlabeled:104,Unlabeled:104,Unlabeled:104
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
875,7.291667,,,,-0.018427,1.024934,0.021725,1.864702,0.017680,0.351716,-0.647125,0.995477,0.027026,,,
876,7.300000,,,,-0.018352,1.025004,0.021754,1.864647,0.017705,0.351733,-0.646946,0.996822,0.027463,,,
877,7.308333,,,,-0.018333,1.025017,0.021744,1.864732,0.017661,0.351706,-0.646790,0.998234,0.028009,,,
878,7.316667,,,,-0.018316,1.025004,0.021736,1.864634,0.017713,0.351736,-0.647283,0.999502,0.028017,,,
879,7.325000,,,,-0.018314,1.024988,0.021732,1.864626,0.017729,0.351743,-0.647269,1.000926,0.028395,,,
880,7.333333,,,,-0.018325,1.024999,0.021735,1.864674,0.017691,0.351726,-0.647115,1.002399,0.028794,,,
881,7.341667,,,,-0.018334,1.025012,0.021724,1.864709,0.017661,0.351713,-0.647109,1.003978,0.029066,,,
882,7.350000,,,,-0.018344,1.025018,0.021732,1.864704,0.017659,0.351710,-0.647032,1.005421,0.029541,,,
883,7.358333,,,,-0.018353,1.025005,0.021736,1.864735,0.017654,0.351705,-0.647084,1.006948,0.030017,,,
884,7.366667,,,,-0.018407,1.024942,0.021694,1.864647,0.017702,0.351731,-0.647033,1.008443,0.030464,,,
885,7.375000,,,,-0.018335,1.024999,0.021731,1.864638,0.017712,0.351736,-0.646858,1.009951,0.030911,,,
886,7.383333,,,,-0.018323,1.025004,0.021727,1.864647,0.017705,0.351731,-0.646487,1.011620,0.031290,,,
887,7.391667,,,,-0.018305,1.025012,0.021727,1.864654,0.017696,0.351729,-0.646323,1.012995,0.031490,,,
888,7.400000,,,,-0.018307,1.025003,0.021724,1.864686,0.017668,0.351716,-0.646049,1.014419,0.031713,,,
889,7.408333,,,,-0.018312,1.024983,0.021723,1.864565,0.017743,0.351755,-0.645679,1.015718,0.032057,,,
890,7.416667,,,,-0.018286,1.024991,0.021720,1.865109,0.017849,0.351833,-0.645358,1.016983,0.032268,,,
891,7.425000,,,,-0.018203,1.025066,0.021762,1.865103,0.017854,0.351832,-0.645073,1.018278,0.032391,,,
892,7.433333,,,,-0.018248,1.025017,0.021715,1.865085,0.017861,0.351838,-0.644715,1.019505,0.032561,,,
893,7.441667,,,,-0.018172,1.025052,0.021747,1.864573,0.017755,0.351760,-0.644344,1.020596,0.032633,,,
894,7.450000,,,,-0.018170,1.025043,0.021741,1.864609,0.017739,0.351749,-0.644100,1.021641,0.032699,,,
895,7.458333,,,,-0.018234,1.024989,0.021706,1.864673,0.017691,0.351723,-0.643316,1.022596,0.033189,,,
896,7.466667,,,,-0.018242,1.025003,0.021703,1.864613,0.017727,0.351746,-0.643053,1.023226,0.033310,,,
897,7.475000,,,,-0.018239,1.025019,0.021711,1.864597,0.017732,0.351748,-0.642866,1.023748,0.033339,,,
898,7.483333,,,,-0.018186,1.025058,0.021738,1.864603,0.017732,0.351745,-0.642659,1.024151,0.033426,,,
899,7.491667,,,,-0.018248,1.024997,0.021699,1.864661,0.017706,0.351732,-0.642393,1.024487,0.033549,,,
900,7.500000,,,,-0.018190,1.025051,0.021736,1.864666,0.017698,0.351728,-0.642235,1.024678,0.033622,,,
901,7.508333,,,,-0.018206,1.025056,0.021732,1.864606,0.017733,0.351748,-0.642066,1.024866,0.033663,,,
902,7.516667,,,,-0.018215,1.025060,0.021735,1.864613,0.017724,0.351746,-0.641956,1.024918,0.033693,,,
903,7.525000,,,,-0.018208,1.025052,0.021738,1.864678,0.017701,0.351727,-0.641900,1.024879,0.033705,,,
904,7.533333,,,,-0.018322,1.024938,0.021668,1.864686,0.017690,0.351724,-0.641932,1.024668,0.033695,,,
905,7.541667,,,,-0.018204,1.025047,0.021739,1.865044,0.017890,0.351853,-0.641934,1.024379,0.033711,,,
906,7.550000,,,,-0.018242,1.025002,0.021698,1.864592,0.017734,0.351749,-0.641970,1.023847,0.033826,,,
907,7.558333,,,,-0.018236,1.025013,0.021699,1.864528,0.017769,0.351767,-0.642034,1.023371,0.033904,,,
908,7.566667,,,,-0.018178,1.025060,0.021735,1.864616,0.017740,0.351748,-0.642175,1.022738,0.034022,,,
909,7.575000,,,,-0.018186,1.025053,0.021740,1.864656,0.017702,0.351730,-0.642350,1.022100,0.034118,,,
910,7.583333,,,,-0.018249,1.024993,0.021706,1.864588,0.017754,0.351754,-0.642620,1.021419,0.034117,,,
911,7.591667,,,,-0.018185,1.025058,0.021744,1.865083,0.017886,0.351847,-0.642724,1.020993,0.034173,,,
912,7.600000,,,,-0.018187,1.025064,0.021749,1.864629,0.017714,0.351738,-0.642962,1.020451,0.034183,,,
913,7.608333,,,,-0.018201,1.025058,0.021754,1.864592,0.017747,0.351753,-0.643341,1.020075,0.034045,,,
914,7.616667,,,,-0.018290,1.024994,0.021723,1.864620,0.017744,0.351745,-0.643587,1.019806,0.034006,,,
915,7.625000,,,,-0.018314,1.024993,0.021731,1.864579,0.017767,0.351759,-0.643823,1.019416,0.034025,,,
916,7.633333,,,,-0.018338,1.025001,0.021742,1.864635,0.017727,0.351742,-0.644054,1.019260,0.034025,,,
917,7.641667,,,,-0.018360,1.025004,0.021742,1.864673,0.017713,0.351732,-0.644463,1.019392,0.033742,,,
918,7.650000,,,,-0.018435,1.024950,0.021711,1.865105,0.017859,0.351838,-0.644857,1.019501,0.033453,,,
919,7.658333,,,,-0.018458,1.024941,0.021722,1.865211,0.017780,0.351795,-0.645262,1.019667,0.033045,,,
920,7.666667,,,,-0.018483,1.024941,0.021722,1.864647,0.017721,0.351738,-0.645556,1.019817,0.032693,,,
921,7.675000,,,,-0.018517,1.024949,0.021732,1.864677,0.017714,0.351732,-0.646043,1.019842,0.032227,,,
922,7.683333,,,,-0.018555,1.024955,0.021750,1.865138,0.017806,0.351814,-0.646479,1.019980,0.031719,,,
923,7.691667,,,,-0.018594,1.024951,0.021748,1.864646,0.017701,0.351734,-0.646775,1.020278,0.031274,,,
924,7.700000,,,,-0.018635,1.024936,0.021761,1.864557,0.017785,0.351767,-0.646956,1.020757,0.030877,,,
925,7.708333,,,,-0.018684,1.024933,0.021773,1.864638,0.017717,0.351737,-0.647354,1.021165,0.030285,,,
926,7.716667,,,,-0.018738,1.024938,0.021781,1.864666,0.017701,0.351729,-0.647708,1.021756,0.029570,,,
927,7.725000,,,,-0.018829,1.024944,0.021792,1.865307,0.017739,0.351772,-0.647814,1.022245,0.029052,,,
928,7.733333,,,,-0.018929,1.024931,0.021803,1.864702,0.017675,0.351715,-0.647843,1.022615,0.028326,,,
929,7.741667,,,,-0.018982,1.024922,0.021805,1.864701,0.017670,0.351712,-0.647757,1.022641,0.027683,,,
930,7.750000,,,,-0.018990,1.024920,0.021802,1.864649,0.017708,0.351735,-0.647657,1.022482,0.026873,,,
931,7.758333,,,,-0.018955,1.024932,0.021804,1.864620,0.017726,0.351744,-0.647437,1.022119,0.025778,,,
932,7.766667,,,,-0.018956,1.024941,0.021794,1.864597,0.017739,0.351751,-0.647330,1.022036,0.024433,,,
933,7.775000,,,,-0.019007,1.024933,0.021806,1.865199,0.017784,0.351801,-0.647374,1.021927,0.023291,,,
934,7.783333,,,,-0.019122,1.024957,0.021817,1.864626,0.017724,0.351742,-0.647510,1.022167,0.023017,,,
935,7.791667,,,,-0.019189,1.024955,0.021821,1.864647,0.017706,0.351734,-0.647876,1.022729,0.023005,,,
936,7.800000,,,,-0.019225,1.024973,0.021826,1.864639,0.017707,0.351733,-0.648080,1.023288,0.023007,,,
937,7.808333,,,,-0.019212,1.024982,0.021827,1.864675,0.017690,0.351723,-0.648226,1.023783,0.022880,,,
938,7.816667,,,,-0.019177,1.024983,0.021820,1.864605,0.017743,0.351749,-0.648215,1.024272,0.022800,,,
939,7.825000,,,,-0.019161,1.024971,0.021821,1.865105,0.017850,0.351833,-0.648189,1.024641,0.022635,,,
940,7.833333,,,,-0.019161,1.024974,0.021826,1.864656,0.017706,0.351732,-0.648171,1.024911,0.022534,,,
941,7.841667,,,,-0.019162,1.024971,0.021821,1.864482,0.017806,0.351787,-0.648100,1.025362,0.022302,,,
942,7.850000,,,,-0.019153,1.024976,0.021821,1.864536,0.017774,0.351770,-0.647924,1.025706,0.022129,,,
943,7.858333,,,,-0.019118,1.024968,0.021829,1.865072,0.017864,0.351844,-0.647798,1.026004,0.021864,,,
944,7.866667,,,,-0.019021,1.024933,0.021803,1.864582,0.017745,0.351755,-0.647733,1.026221,0.021703,,,
945,7.875000,,,,-0.018975,1.024928,0.021801,1.865060,0.017859,0.351844,-0.647655,1.026430,0.021577,,,
946,7.883333,,,,-0.018920,1.024939,0.021800,1.864532,0.017783,0.351774,-0.647615,1.026414,0.021515,,,
947,7.891667,,,,-0.018878,1.024946,0.021798,1.864489,0.017797,0.351783,-0.647661,1.026199,0.021431,,,
948,7.900000,,,,-0.018843,1.024945,0.021796,1.864587,0.017741,0.351753,-0.647650,1.025870,0.021579,,,
949,7.908333,,,,-0.018792,1.024944,0.021785,1.865084,0.017859,0.351838,-0.647717,1.025354,0.021689,,,
950,7.916667,,,,-0.018739,1.024945,0.021780,1.864533,0.017756,0.351765,-0.647764,1.024769,0.021445,,,
951,7.925000,,,,-0.018692,1.024948,0.021777,1.864501,0.017796,0.351780,-0.647703,1.024091,0.020762,,,
952,7.933333,,,,-0.018655,1.024957,0.021768,1.864667,0.017703,0.351728,-0.647731,1.023013,0.018849,,,
953,7.941667,,,,-0.018631,1.024959,0.021769,1.864614,0.017728,0.351746,-0.647543,1.022035,0.017574,,,
954,7.950000,,,,-0.018629,1.024953,0.021767,1.864504,0.017795,0.351781,-0.647428,1.021031,0.016342,,,
955,7.958333,,,,-0.018614,1.024942,0.021766,1.864510,0.017782,0.351776,-0.647545,1.020285,0.015189,,,
956,7.966667,,,,-0.018644,1.024938,0.021767,1.864685,0.017687,0.351721,-0.647417,1.019897,0.014760,,,
957,7.975000,,,,-0.018674,1.024939,0.021774,1.865099,0.017865,0.351837,-0.647490,1.019504,0.014591,,,
958,7.983333,,,,-0.018708,1.024945,0.021778,1.865145,0.017822,0.351820,-0.647541,1.019192,0.014706,,,
959,7.991667,,,,-0.018735,1.024936,0.021776,1.864563,0.017758,0.351760,-0.647664,1.018715,0.014897,,,
960,8.000000,,,,-0.018744,1.024932,0.021784,1.864545,0.017769,0.351768,-0.647649,1.018280,0.015109,,,
961,8.008333,,,,-0.018743,1.024941,0.021782,1.864550,0.017753,0.351763,-0.647767,1.017755,0.014770,,,
962,8.016667,,,,-0.018729,1.024952,0.021781,1.864611,0.017729,0.351744,-0.647752,1.017175,0.014541,,,
963,8.025000,,,,-0.018722,1.024956,0.021773,1.864560,0.017756,0.351759,-0.647608,1.016625,0.014491,,,
964,8.033333,,,,-0.018717,1.024951,0.021776,1.865036,0.017876,0.351849,-0.647621,1.015908,0.014407,,,
965,8.041667,,,,-0.018720,1.024952,0.021773,1.864579,0.017756,0.351758,-0.647496,1.015246,0.014493,,,
966,8.050000,,,,-0.018697,1.024949,0.021766,1.864706,0.017689,0.351721,-0.647362,1.014439,0.014512,,,
967,8.058333,,,,-0.018650,1.024959,0.021766,1.865094,0.017858,0.351837,-0.647192,1.013623,0.014508,,,
968,8.066667,,,,-0.018621,1.024961,0.021763,1.864560,0.017783,0.351766,-0.647106,1.012827,0.014406,,,
969,8.075000,,,,-0.018618,1.024953,0.021763,1.864436,0.017839,0.351803,-0.647158,1.012041,0.014263,,,
970,8.083333,,,,-0.018642,1.024951,0.021767,1.864638,0.017719,0.351737,-0.647200,1.011327,0.014138,,,
971,8.091667,,,,-0.018669,1.024950,0.021775,1.865097,0.017861,0.351835,-0.647135,1.010619,0.014229,,,
972,8.100000,,,,-0.018666,1.024946,0.021771,1.865158,0.017832,0.351823,-0.647272,1.009664,0.014069,,,
973,8.108333,,,,-0.018647,1.024946,0.021777,1.864480,0.017799,0.351785,-0.647109,1.009099,0.013859,,,
974,8.116667,,,,-0.018642,1.024938,0.021778,1.864561,0.017766,0.351767,-0.647008,1.008165,0.013682,,,
975,8.125000,,,,-0.018652,1.024932,0.021780,1.864555,0.017760,0.351762,-0.647007,1.007164,0.013367,,,
976,8.133333,,,,-0.018659,1.024932,0.021776,1.865010,0.017897,0.351859,-0.646938,1.006197,0.013026,,,
977,8.141667,,,,-0.018676,1.024934,0.021778,1.864604,0.017710,0.351740,-0.646833,1.005085,0.012840,,,
978,8.150000,,,,-0.018687,1.024940,0.021780,1.864510,0.017790,0.351779,-0.646811,1.004003,0.012392,,,
979,8.158333,,,,-0.018674,1.024938,0.021770,1.864588,0.017745,0.351753,-0.646664,1.003135,0.012158,,,
980,8.166667,,,,-0.018635,1.024940,0.021759,1.864641,0.017723,0.351738,-0.646485,1.002216,0.011993,,,
981,8.175000,,,,-0.018593,1.024952,0.021751,1.864613,0.017731,0.351745,-0.646358,1.001282,0.011766,,,
982,8.183333,,,,-0.018554,1.024966,0.021751,1.865124,0.017838,0.351827,-0.646107,1.000413,0.011608,,,
983,8.191667,,,,-0.018516,1.024964,0.021740,1.865206,0.017806,0.351804,-0.645741,0.999771,0.011424,,,
984,8.200000,,,,-0.018495,1.024965,0.021724,1.865084,0.017844,0.351835,-0.645380,0.999087,0.011039,,,
985,8.208333,,,,-0.018465,1.024965,0.021725,1.864655,0.017709,0.351733,-0.645015,0.998399,0.010653,,,
986,8.216667,,,,-0.018432,1.024965,0.021721,1.864656,0.017690,0.351729,-0.644645,0.997510,0.010511,,,
987,8.225000,,,,-0.018337,1.025024,0.021754,1.864667,0.017701,0.351728,-0.644392,0.996581,0.010243,,,
988,8.233333,,,,-0.018331,1.025015,0.021760,1.865155,0.017808,0.351812,-0.644264,0.995544,0.009944,,,
989,8.241667,,,,-0.018341,1.025007,0.021766,1.864560,0.017757,0.351763,-0.644152,0.994346,0.009846,,,
990,8.250000,,,,-0.018434,1.024943,0.021738,1.865117,0.017845,0.351830,-0.644074,0.993019,0.009631,,,
991,8.258333,,,,-0.018469,1.024939,0.021738,1.865104,0.017849,0.351832,-0.643980,0.991864,0.009472,,,
992,8.266667,,,,-0.018486,1.024943,0.021753,1.865142,0.017816,0.351818,-0.643859,0.990423,0.009492,,,
993,8.275000,,,,-0.018487,1.024937,0.021751,1.864584,0.017752,0.351754,-0.643690,0.989278,0.009346,,,
994,8.283333,,,,-0.018495,1.024926,0.021747,1.865092,0.017857,0.351838,-0.643663,0.988025,0.009051,,,
995,8.291667,,,,-0.018485,1.024936,0.021741,1.864656,0.017706,0.351732,-0.643572,0.986842,0.008819,,,
996,8.300000,,,,-0.018496,1.024937,0.021748,1.864606,0.017724,0.351742,-0.643398,0.985824,0.008761,,,
997,8.308333,,,,-0.018504,1.024945,0.021738,1.864622,0.017717,0.351740,-0.643355,0.984844,0.008446,,,
998,8.316667,,,,-0.018497,1.024952,0.021723,1.864613,0.017749,0.351748,-0.643132,0.984234,0.008373,,,
999,8.325000,,,,-0.018410,1.025014,0.021744,1.865164,0.017827,0.351814,-0.642970,0.983457,0.008348,,,
1000,8.333333,,,,-0.018367,1.025017,0.021739,1.864641,0.017737,0.351741,-0.642694,0.982928,0.008220,,,
1001,8.341667,,,,-0.018270,1.025081,0.021770,1.864804,0.017639,0.351690,-0.642494,0.982290,0.007973,,,
1002,8.350000,,,,-0.018308,1.025025,0.021728,1.864651,0.017731,0.351736,-0.642414,0.981428,0.007742,,,
1003,8.358333,,,,-0.018318,1.025028,0.021732,1.864650,0.017732,0.351742,-0.642386,0.980425,0.007509,,,
1004,8.366667,,,,-0.018344,1.025018,0.021739,1.864630,0.017730,0.351741,-0.642413,0.979355,0.007229,,,
1005,8.375000,,,,-0.018369,1.025010,0.021752,1.864641,0.017726,0.351742,-0.642476,0.978109,0.006912,,,
1006,8.383333,,,,-0.018387,1.025000,0.021764,1.864622,0.017723,0.351742,-0.642474,0.976944,0.006616,,,
1007,8.391667,,,,-0.018456,1.024945,0.021737,1.864662,0.017710,0.351732,-0.642557,0.975792,0.006224,,,
1008,8.400000,,,,-0.018476,1.024933,0.021750,1.865098,0.017860,0.351837,-0.642666,0.974689,0.005808,,,
1009,8.408333,,,,-0.018500,1.024930,0.021750,1.864676,0.017692,0.351727,-0.642543,0.973950,0.005604,,,
1010,8.416667,,,,-0.018528,1.024924,0.021753,1.865185,0.017809,0.351810,-0.642500,0.973277,0.005346,,,
1011,8.425000,,,,-0.018549,1.024921,0.021754,1.864641,0.017739,0.351742,-0.642466,0.972877,0.005054,,,
1012,8.433333,,,,-0.018542,1.024928,0.021747,1.864659,0.017721,0.351737,-0.642339,0.972634,0.004924,,,
1013,8.441667,,,,-0.018519,1.024938,0.021736,1.864692,0.017706,0.351727,-0.642196,0.972641,0.004777,,,
1014,8.450000,,,,-0.018490,1.024938,0.021717,1.864595,0.017758,0.351755,-0.642061,0.972621,0.004622,,,
1015,8.458333,,,,-0.018456,1.024954,0.021710,1.864618,0.017730,0.351746,-0.641931,0.972622,0.004356,,,
1016,8.466667,,,,-0.018372,1.025007,0.021742,1.864591,0.017732,0.351749,-0.641851,0.972518,0.004009,,,
1017,8.475000,,,,-0.018358,1.025019,0.021735,1.864668,0.017715,0.351731,-0.641868,0.972271,0.003593,,,
1018,8.483333,,,,-0.018360,1.025024,0.021736,1.865187,0.017797,0.351807,-0.641839,0.972001,0.003249,,,
1019,8.491667,,,,-0.018407,1.024962,0.021694,1.864678,0.017695,0.351726,-0.641919,0.971771,0.002568,,,
1020,8.500000,,,,-0.018329,1.025023,0.021733,1.864647,0.017702,0.351731,-0.642011,0.971657,0.001839,,,
1021,8.508333,,,,-0.018333,1.025012,0.021745,1.865103,0.017855,0.351833,-0.641939,0.971681,0.001272,,,
1022,8.516667,,,,-0.018342,1.025015,0.021750,1.865174,0.017816,0.351814,-0.641756,0.971983,0.000698,,,
1023,8.525000,,,,-0.018434,1.024948,0.021731,1.865205,0.017807,0.351805,-0.641741,0.972320,0.000079,,,
1024,8.533333,,,,-0.018476,1.024933,0.021744,1.864633,0.017720,0.351738,-0.641755,0.972781,-0.000221,,,
1025,8.541667,,,,-0.018522,1.024921,0.021748,1.864604,0.017737,0.351751,-0.641769,0.973142,-0.000313,,,
1026,8.550000,,,,-0.018545,1.024919,0.021752,1.864610,0.017743,0.351748,-0.641835,0.973384,-0.000402,,,
1027,8.558333,,,,-0.018564,1.024924,0.021764,1.864602,0.017752,0.351753,-0.641919,0.973717,-0.000603,,,
1028,8.566667,,,,-0.018571,1.024922,0.021753,1.865152,0.017829,0.351822,-0.642181,0.973843,-0.000875,,,
1029,8.575000,,,,-0.018562,1.024925,0.021746,1.865123,0.017851,0.351827,-0.642467,0.973986,-0.000996,,,
1030,8.583333,,,,-0.018579,1.024925,0.021748,1.865137,0.017815,0.351815,-0.642801,0.974286,-0.001228,,,
1031,8.591667,,,,-0.018565,1.024938,0.021746,1.864509,0.017784,0.351777,-0.642994,0.974755,-0.001253,,,
1032,8.600000,,,,-0.018550,1.024946,0.021737,1.864606,0.017748,0.351752,-0.643036,0.975610,-0.001266,,,
1033,8.608333,,,,-0.018526,1.024954,0.021728,1.865102,0.017847,0.351835,-0.642981,0.976487,-0.001088,,,
1034,8.616667,,,,-0.018527,1.024961,0.021724,1.865140,0.017837,0.351820,-0.642972,0.977135,-0.000787,,,
1035,8.625000,,,,-0.018551,1.024956,0.021731,1.865056,0.017842,0.351838,-0.643005,0.977803,-0.000470,,,
1036,8.633333,,,,-0.018608,1.024950,0.021740,1.864571,0.017754,0.351760,-0.643195,0.978232,-0.000397,,,
1037,8.641667,,,,-0.018667,1.024947,0.021747,1.864541,0.017771,0.351770,-0.643291,0.978551,-0.000669,,,
1038,8.650000,,,,-0.018723,1.024934,0.021762,1.864560,0.017754,0.351762,-0.643365,0.978905,-0.001607,,,
1039,8.658333,,,,-0.018755,1.024932,0.021778,1.864557,0.017740,0.351758,-0.643395,0.979013,-0.002792,,,
1040,8.666667,,,,-0.018800,1.024909,0.021774,1.865158,0.017815,0.351814,-0.643585,0.978879,-0.003651,,,
1041,8.675000,,,,-0.018876,1.024902,0.021792,1.864618,0.017731,0.351745,-0.643794,0.979082,-0.003545,,,
1042,8.683333,,,,-0.018996,1.024903,0.021821,1.864632,0.017744,0.351746,-0.644061,0.979151,-0.003081,,,
1043,8.691667,,,,-0.019130,1.024932,0.021839,1.864660,0.017706,0.351730,-0.644456,0.979097,-0.002765,,,
1044,8.700000,,,,-0.019183,1.024925,0.021849,1.864573,0.017752,0.351757,-0.644691,0.978993,-0.002847,,,
1045,8.708333,,,,-0.019191,1.024921,0.021846,1.864656,0.017708,0.351730,-0.644722,0.978887,-0.003053,,,
1046,8.716667,,,,-0.019205,1.024935,0.021874,1.865037,0.017878,0.351852,-0.644812,0.978767,-0.003238,,,
1047,8.725000,,,,-0.019205,1.024920,0.021831,1.864672,0.017708,0.351728,-0.644872,0.978723,-0.003222,,,
1048,8.733333,,,,-0.019229,1.024943,0.021872,1.864587,0.017761,0.351759,-0.644936,0.978524,-0.003360,,,
1049,8.741667,,,,-0.019207,1.024950,0.021820,1.864658,0.017715,0.351734,-0.644956,0.978143,-0.003507,,,
1050,8.750000,,,,-0.019173,1.024968,0.021810,1.864636,0.017729,0.351743,-0.644853,0.977595,-0.003471,,,
1051,8.758333,,,,-0.019111,1.024975,0.021803,1.864606,0.017748,0.351752,-0.644584,0.977056,-0.003195,,,
1052,8.766667,,,,-0.019054,1.024974,0.021796,1.864672,0.017721,0.351731,-0.644476,0.976373,-0.003193,,,
1053,8.775000,,,,-0.018984,1.024934,0.021785,1.865081,0.017875,0.351843,-0.644203,0.975582,-0.002890,,,
1054,8.783333,,,,-0.018972,1.024923,0.021786,1.864621,0.017732,0.351745,-0.644012,0.974706,-0.002452,,,
1055,8.791667,,,,-0.018972,1.024928,0.021787,1.864687,0.017686,0.351722,-0.644014,0.973661,-0.001932,,,
1056,8.800000,,,,-0.018968,1.024924,0.021793,1.865054,0.017889,0.351852,-0.643941,0.972686,-0.001541,,,
1057,8.808333,,,,-0.018905,1.024916,0.021793,1.864555,0.017787,0.351769,-0.643684,0.971929,-0.001524,,,
1058,8.816667,,,,-0.018810,1.024920,0.021793,1.864671,0.017710,0.351730,-0.643384,0.971036,-0.001572,,,
1059,8.825000,,,,-0.018708,1.024923,0.021791,1.864608,0.017753,0.351751,-0.642915,0.970302,-0.001699,,,
1060,8.833333,,,,-0.018636,1.024915,0.021780,1.864655,0.017731,0.351736,-0.642303,0.969635,-0.002003,,,
1061,8.841667,,,,-0.018592,1.024920,0.021774,1.865078,0.017880,0.351844,-0.641704,0.969075,-0.002463,,,
1062,8.850000,,,,-0.018562,1.024924,0.021767,1.865105,0.017879,0.351842,-0.641019,0.968713,-0.002871,,,
1063,8.858333,,,,-0.018519,1.024928,0.021751,1.864687,0.017692,0.351723,-0.640335,0.968150,-0.002989,,,
1064,8.866667,,,,-0.018465,1.024938,0.021743,1.864654,0.017701,0.351733,-0.639887,0.967107,-0.002750,,,
1065,8.875000,,,,-0.018336,1.025007,0.021751,1.865134,0.017835,0.351825,-0.639646,0.965827,-0.002510,,,
1066,8.883333,,,,-0.018280,1.025015,0.021738,1.864610,0.017734,0.351748,-0.639825,0.964195,-0.002486,,,
1067,8.891667,,,,-0.018257,1.025025,0.021727,1.864618,0.017739,0.351746,-0.639822,0.962710,-0.002639,,,
1068,8.900000,,,,-0.018277,1.025020,0.021723,1.865177,0.017789,0.351804,-0.639946,0.960896,-0.003097,,,
1069,8.908333,,,,-0.018332,1.025021,0.021733,1.865106,0.017838,0.351828,-0.639930,0.959405,-0.003673,,,
1070,8.916667,,,,-0.018437,1.024958,0.021713,1.864565,0.017748,0.351760,-0.639870,0.957943,-0.003966,,,
1071,8.925000,,,,-0.018461,1.024958,0.021714,1.864551,0.017769,0.351765,-0.639770,0.956668,-0.004002,,,
1072,8.933333,,,,-0.018487,1.024945,0.021721,1.864573,0.017767,0.351761,-0.639710,0.955436,-0.004086,,,
1073,8.941667,,,,-0.018503,1.024936,0.021728,1.864527,0.017769,0.351770,-0.639571,0.954366,-0.004340,,,
1074,8.950000,,,,-0.018520,1.024927,0.021734,1.864539,0.017757,0.351762,-0.639401,0.953230,-0.004506,,,
1075,8.958333,,,,-0.018545,1.024926,0.021740,1.864595,0.017755,0.351754,-0.639343,0.951915,-0.004429,,,
1076,8.966667,,,,-0.018573,1.024926,0.021742,1.864608,0.017729,0.351746,-0.639013,0.950981,-0.004087,,,
1077,8.975000,,,,-0.018569,1.024923,0.021746,1.865159,0.017822,0.351816,-0.638936,0.949938,-0.004055,,,
1078,8.983333,,,,-0.018522,1.024923,0.021736,1.865088,0.017832,0.351831,-0.638865,0.948868,-0.004074,,,
1079,8.991667,,,,-0.018467,1.024932,0.021726,1.864640,0.017700,0.351734,-0.638483,0.947909,-0.003946,,,
1080,9.000000,,,,-0.018401,1.024940,0.021707,1.864598,0.017718,0.351745,-0.638198,0.946918,-0.004016,,,
1081,9.008333,,,,-0.018285,1.025007,0.021734,1.864505,0.017769,0.351771,-0.637874,0.945873,-0.004269,,,
1082,9.016667,,,,-0.018268,1.025007,0.021733,1.864587,0.017741,0.351751,-0.637726,0.944689,-0.004431,,,
1083,9.025000,,,,-0.018210,1.025063,0.021762,1.864608,0.017737,0.351747,-0.637643,0.943753,-0.004449,,,
1084,9.033333,,,,-0.018277,1.025010,0.021729,1.864683,0.017684,0.351723,-0.637650,0.942886,-0.004243,,,
1085,9.041667,,,,-0.018278,1.025010,0.021726,1.864578,0.017762,0.351760,-0.637342,0.942168,-0.004041,,,
1086,9.050000,,,,-0.018216,1.025059,0.021757,1.864619,0.017724,0.351744,-0.636767,0.941484,-0.004170,,,
1087,9.058333,,,,-0.018210,1.025057,0.021758,1.865151,0.017812,0.351815,-0.636140,0.940764,-0.004378,,,
1088,9.066667,,,,-0.018222,1.025049,0.021753,1.865155,0.017803,0.351812,-0.635468,0.940075,-0.004631,,,
1089,9.075000,,,,-0.018309,1.024996,0.021725,1.864639,0.017709,0.351736,-0.635015,0.939320,-0.004708,,,
1090,9.083333,,,,-0.018353,1.024984,0.021728,1.864550,0.017752,0.351760,-0.634621,0.938656,-0.004786,,,
1091,9.091667,,,,-0.018432,1.024931,0.021697,1.864613,0.017754,0.351752,-0.634282,0.937996,-0.004737,,,
1092,9.100000,,,,-0.018426,1.024928,0.021694,1.864581,0.017734,0.351752,-0.633920,0.937342,-0.004556,,,
1093,9.108333,,,,-0.018334,1.024986,0.021719,1.864629,0.017717,0.351741,-0.633651,0.936757,-0.004334,,,
1094,9.116667,,,,-0.018305,1.024988,0.021712,1.864580,0.017757,0.351756,-0.633701,0.936013,-0.004333,,,
