"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.700755542E0,-5.891149292E0,3.726351013E0,8.374335480E0,1.089590871E1
6.710781542E0,-5.879174194E0,3.731141052E0,8.384065247E0,1.089856196E1
6.720807542E0,-5.823489990E0,3.704346771E0,8.302784271E0,1.079682580E1
6.730832542E0,-5.779780884E0,3.693269806E0,8.216413879E0,1.070306339E1
6.740858542E0,-5.764812012E0,3.707639923E0,8.203840027E0,1.069030601E1
6.750884542E0,-5.755531311E0,3.729644165E0,8.209079132E0,1.069697932E1
6.760910542E0,-5.766757965E0,3.765868835E0,8.222102051E0,1.072568075E1
6.770936542E0,-5.783672791E0,3.814966736E0,8.257727966E0,1.077937444E1
6.780961542E0,-5.736670532E0,3.833079071E0,8.164621582E0,1.068938396E1
6.790987542E0,-5.657634888E0,3.833378448E0,8.079149323E0,1.058188436E1
6.801013542E0,-5.559588776E0,3.803590393E0,7.930658112E0,1.040536714E1
6.811039542E0,-5.492079163E0,3.791615295E0,7.811356201E0,1.027407250E1
6.821064542E0,-5.516328735E0,3.850892029E0,7.849826202E0,1.033823116E1
6.831090542E0,-5.557044067E0,3.918551331E0,7.916587372E0,1.043590623E1
6.841116542E0,-5.556894379E0,3.963457947E0,7.923772430E0,1.045821417E1
6.851142542E0,-5.521118774E0,3.965403900E0,7.870782623E0,1.039982691E1
6.861167792E0,-5.461243286E0,3.944148102E0,7.778274994E0,1.028994871E1
6.871193792E0,-5.435646515E0,3.942950592E0,7.736511841E0,1.024435102E1
6.881219792E0,-5.446873169E0,3.970343628E0,7.744894409E0,1.026720241E1
6.891245792E0,-5.472469940E0,4.003873901E0,7.789651337E0,1.032751671E1
6.901271792E0,-5.491630096E0,4.028273163E0,7.831264801E0,1.037852081E1
6.911296792E0,-5.492079163E0,4.035009155E0,7.834108887E0,1.038352033E1
6.921322792E0,-5.459447021E0,4.014651489E0,7.803722076E0,1.033542774E1
6.931348792E0,-5.410199432E0,3.990401917E0,7.733218689E0,1.024676713E1
6.941374792E0,-5.312303009E0,3.927083588E0,7.597900085E0,1.006829849E1
6.951399792E0,-5.280269623E0,3.906127167E0,7.544461212E0,1.000289817E1
6.961425792E0,-5.335355072E0,3.954027557E0,7.659871216E0,1.013774998E1
6.971451792E0,-5.350024567E0,3.969146118E0,7.697443085E0,1.017976001E1
6.981477792E0,-5.315296783E0,3.941154327E0,7.636519775E0,1.010452926E1
6.991502792E0,-5.241200867E0,3.881129150E0,7.535330200E0,9.965668630E0
7.001528792E0,-5.138215027E0,3.799848175E0,7.401209106E0,9.778445482E0
7.011554792E0,-5.092709656E0,3.753294983E0,7.324867859E0,9.678667471E0
7.021580792E0,-5.072351990E0,3.734733582E0,7.297474823E0,9.640027408E0
7.031606792E0,-5.045408020E0,3.685186615E0,7.255711670E0,9.575076726E0
7.041631792E0,-4.987179108E0,3.633993073E0,7.172484741E0,9.461627686E0
7.051657792E0,-4.921765137E0,3.561992798E0,7.091802521E0,9.338373935E0
7.061683792E0,-4.889282684E0,3.518882446E0,7.045099640E0,9.269360699E0
7.071709792E0,-4.885989532E0,3.489393768E0,7.025191040E0,9.241324133E0
7.081734792E0,-4.894372101E0,3.474125519E0,7.039411469E0,9.250823758E0
7.091760792E0,-4.930896149E0,3.470982056E0,7.088958435E0,9.306706450E0
7.101786792E0,-4.975503387E0,3.475472717E0,7.164251862E0,9.389411553E0
7.111812792E0,-5.055586853E0,3.500321045E0,7.278314667E0,9.528119974E0
7.121838792E0,-5.151986389E0,3.541485443E0,7.399263153E0,9.686804329E0
7.131863792E0,-5.277724915E0,3.612288208E0,7.598648529E0,9.931891353E0
7.141889792E0,-5.326822815E0,3.633993073E0,7.693251801E0,1.003828024E1
7.151915792E0,-5.324727173E0,3.617826691E0,7.667505341E0,1.001159466E1
7.161941792E0,-5.364394684E0,3.627406769E0,7.711813202E0,1.007009797E1
7.171966792E0,-5.393733673E0,3.659290466E0,7.772137756E0,1.014341634E1
7.181992792E0,-5.441184998E0,3.686533813E0,7.843988342E0,1.023353208E1
7.192018792E0,-5.509443054E0,3.745211792E0,7.956703949E0,1.037736536E1
7.202044792E0,-5.564977570E0,3.802991638E0,8.046816559E0,1.049680797E1
7.212069792E0,-5.564678192E0,3.815715179E0,8.038433990E0,1.049484382E1
7.222095792E0,-5.504353638E0,3.798500977E0,7.963889008E0,1.039952147E1
7.232121792E0,-5.453908539E0,3.797752533E0,7.900121613E0,1.032375727E1
7.242147792E0,-5.456602936E0,3.829336853E0,7.889194336E0,1.032849087E1
7.252172792E0,-5.512736206E0,3.895648956E0,7.971223755E0,1.044541763E1
7.262198792E0,-5.526058502E0,3.938160553E0,7.984546051E0,1.047852121E1
7.272224792E0,-5.458399200E0,3.920646973E0,7.895930328E0,1.036876609E1
7.282250792E0,-5.375771027E0,3.883374481E0,7.775730286E0,1.021966208E1
7.292276792E0,-5.320535889E0,3.882775726E0,7.701334991E0,1.013383492E1
7.302301792E0,-5.294040985E0,3.885769501E0,7.672145691E0,1.009890559E1
7.312327792E0,-5.322631531E0,3.933669891E0,7.696395264E0,1.015079629E1
7.322353792E0,-5.389392700E0,3.992347870E0,7.809260559E0,1.029412190E1
7.332379792E0,-5.456453247E0,4.052522736E0,7.907606049E0,1.042717872E1
7.342404792E0,-5.464386749E0,4.079167328E0,7.920778656E0,1.045169188E1
7.352430792E0,-5.451962585E0,4.079167328E0,7.905061340E0,1.043328792E1
7.362456792E0,-5.477559357E0,4.089495850E0,7.942333832E0,1.047894553E1
7.372482792E0,-5.498066711E0,4.111051025E0,7.973169708E0,1.052145015E1
7.382508792E0,-5.556445312E0,4.154011688E0,8.083490295E0,1.065235716E1
7.392533792E0,-5.652096405E0,4.227508850E0,8.219856720E0,1.083439289E1
7.402559792E0,-5.706583099E0,4.259093170E0,8.298892365E0,1.093510767E1
7.412585792E0,-5.730533295E0,4.260140991E0,8.337811432E0,1.097756405E1
7.422611792E0,-5.738317108E0,4.265829163E0,8.359516296E0,1.100032247E1
7.432636792E0,-5.765710144E0,4.277953949E0,8.407566376E0,1.105583447E1
7.442662792E0,-5.828729095E0,4.299808502E0,8.487051086E0,1.115761947E1
7.452688792E0,-5.820196838E0,4.266727295E0,8.482111359E0,1.113669009E1
7.462714792E0,-5.784121857E0,4.240980835E0,8.423134003E0,1.106305430E1
7.472739792E0,-5.763764191E0,4.198319550E0,8.382718048E0,1.100530902E1
7.482765792E0,-5.771398315E0,4.177512817E0,8.408314819E0,1.102090786E1
7.492791792E0,-5.820496216E0,4.182452545E0,8.465346222E0,1.109203192E1
7.502817792E0,-5.799988861E0,4.140090637E0,8.430768127E0,1.103893439E1
7.512843792E0,-5.740113373E0,4.069736938E0,8.342302094E0,1.091355416E1
7.522868792E0,-5.711672516E0,4.011208649E0,8.305179291E0,1.084845615E1
7.532894792E0,-5.669460297E0,3.952530670E0,8.238567810E0,1.075357049E1
7.542920792E0,-5.627547455E0,3.883973236E0,8.163873138E0,1.064910151E1
7.552946792E0,-5.575755157E0,3.820205841E0,8.100854187E0,1.055020648E1
7.562971792E0,-5.517226868E0,3.751648407E0,8.004304962E0,1.042034337E1
7.572997792E0,-5.442831573E0,3.661685486E0,7.887248383E0,1.025870573E1
7.583023792E0,-5.418132935E0,3.615581360E0,7.854616241E0,1.020409670E1
7.593049792E0,-5.436095581E0,3.605701904E0,7.872878265E0,1.022420821E1
7.603075792E0,-5.455704803E0,3.599564667E0,7.883057098E0,1.024032079E1
7.613100792E0,-5.449866943E0,3.585643616E0,7.874225464E0,1.022552280E1
7.623126792E0,-5.435945892E0,3.562591553E0,7.857909393E0,1.019746568E1
7.633152792E0,-5.412893829E0,3.547622681E0,7.830815735E0,1.015907089E1
7.643178792E0,-5.397326202E0,3.534749451E0,7.793992310E0,1.011789998E1
7.653203792E0,-5.381459198E0,3.524121552E0,7.765850830E0,1.008404556E1
7.663229792E0,-5.350323944E0,3.522025909E0,7.738008728E0,1.004526813E1
7.673255792E0,-5.338498535E0,3.522025909E0,7.703131256E0,1.001211587E1
7.683281792E0,-5.313350830E0,3.518283691E0,7.657625885E0,9.962391850E0
7.693306792E0,-5.250631256E0,3.511697388E0,7.592511292E0,9.876607456E0
7.703332792E0,-5.237458649E0,3.523971863E0,7.563022614E0,9.851327923E0
7.713358792E0,-5.257516937E0,3.553460541E0,7.578290863E0,9.884283412E0
7.723384792E0,-5.278772736E0,3.604953461E0,7.616311798E0,9.943306113E0
7.733410792E0,-5.316194916E0,3.638633423E0,7.659871216E0,1.000875660E1
7.743435792E0,-5.275629272E0,3.648961945E0,7.610473938E0,9.953215614E0
7.753461792E0,-5.140460358E0,3.580554199E0,7.427853699E0,9.716877669E0
7.763487792E0,-5.094655609E0,3.565884705E0,7.340734863E0,9.620677618E0
7.773513792E0,-5.143903198E0,3.611839142E0,7.415429535E0,9.720787894E0
7.783538792E0,-5.154082031E0,3.633843384E0,7.438182220E0,9.751714417E0
7.793564792E0,-5.127287750E0,3.634591827E0,7.394622803E0,9.704626928E0
7.803590792E0,-5.121599579E0,3.628155212E0,7.380102997E0,9.688148055E0
7.813616792E0,-5.114264832E0,3.629352722E0,7.378007355E0,9.683124417E0
7.823641792E0,-5.132676544E0,3.650758209E0,7.407046967E0,9.723001017E0
7.833667792E0,-5.145100708E0,3.667822723E0,7.429200897E0,9.752846292E0
7.843693792E0,-5.165608063E0,3.674858093E0,7.447612610E0,9.780338555E0
7.853719792E0,-5.169050903E0,3.669918365E0,7.456444244E0,9.787029622E0
7.863748917E0,-5.133275299E0,3.638783112E0,7.404352570E0,9.716773889E0
7.873773917E0,-5.098547516E0,3.612288208E0,7.351662140E0,9.648354735E0
7.883799917E0,-5.078189850E0,3.579356689E0,7.316485291E0,9.598477143E0
7.893825917E0,-5.073100433E0,3.551364899E0,7.290439453E0,9.565513477E0
7.903851917E0,-5.115013275E0,3.568579102E0,7.336693268E0,9.629391762E0
7.913876917E0,-5.213059387E0,3.616030426E0,7.479496307E0,9.807880975E0
7.923902917E0,-5.240602112E0,3.620221710E0,7.520810394E0,9.855582414E0
7.933928917E0,-5.200784912E0,3.573668518E0,7.450456696E0,9.763635355E0
7.943954917E0,-5.149291992E0,3.535348206E0,7.400011597E0,9.683701079E0
7.953979917E0,-5.095404053E0,3.473975830E0,7.293133850E0,9.550992194E0
7.964005917E0,-5.059329071E0,3.419339447E0,7.227570190E0,9.461842514E0
7.974031917E0,-5.106930084E0,3.431464233E0,7.305258636E0,9.551046300E0
7.984057917E0,-5.182223511E0,3.462449799E0,7.420369263E0,9.690504585E0
7.994082917E0,-5.262606354E0,3.496279449E0,7.541766815E0,9.838558955E0
8.004108917E0,-5.283712463E0,3.495680695E0,7.581134949E0,9.879828340E0
8.014134917E0,-5.317841492E0,3.490740967E0,7.599995728E0,9.910834762E0
8.024160917E0,-5.352868652E0,3.501967621E0,7.654033356E0,9.975029155E0
8.034186917E0,-5.387297058E0,3.511847076E0,7.724387054E0,1.005097980E1
8.044211917E0,-5.435646515E0,3.534749451E0,7.796986084E0,1.014069518E1
8.054237917E0,-5.513634338E0,3.570974121E0,7.907007294E0,1.027972685E1
8.064263917E0,-5.602699127E0,3.620521088E0,8.045469360E0,1.045121944E1
8.074289917E0,-5.649551697E0,3.651506653E0,8.123756561E0,1.054733881E1
8.084314917E0,-5.658982086E0,3.656147003E0,8.120313721E0,1.055134987E1
8.094340917E0,-5.666915588E0,3.660637665E0,8.131091309E0,1.056545533E1
8.104366917E0,-5.742807770E0,3.720363464E0,8.237220612E0,1.070853626E1
8.114392917E0,-5.844745789E0,3.800297241E0,8.398435364E0,1.091499102E1
8.124417917E0,-5.879174194E0,3.843407593E0,8.441695404E0,1.098174360E1
8.134443917E0,-5.822142792E0,3.828738098E0,8.351882172E0,1.087706385E1
8.144469917E0,-5.744753723E0,3.804787903E0,8.241411896E0,1.074241483E1
8.154495917E0,-5.723348236E0,3.820505219E0,8.216563568E0,1.071750400E1
8.164521917E0,-5.765111389E0,3.877087555E0,8.274343414E0,1.080430822E1
8.174546917E0,-5.823639679E0,3.951632538E0,8.364755402E0,1.093157407E1
8.184572917E0,-5.813909912E0,3.976331177E0,8.366252289E0,1.093649557E1
8.194598917E0,-5.733976135E0,3.958817596E0,8.242759094E0,1.079322920E1
8.204624917E0,-5.691913605E0,3.967798920E0,8.190517731E0,1.073433228E1
8.214649917E0,-5.677094421E0,3.995491333E0,8.169860687E0,1.072100628E1
8.224675917E0,-5.673950958E0,4.024381256E0,8.203241272E0,1.075558140E1
8.234701917E0,-5.673501892E0,4.049528961E0,8.198151855E0,1.076090156E1
8.244727917E0,-5.630241852E0,4.045038300E0,8.119265900E0,1.067634942E1
8.254752917E0,-5.605692902E0,4.051025848E0,8.103548584E0,1.065373657E1
8.264778917E0,-5.567971344E0,4.040248260E0,8.061336365E0,1.059769102E1
8.274804917E0,-5.498815155E0,4.008813629E0,7.956703949E0,1.046979907E1
8.284830917E0,-5.438191223E0,3.973487091E0,7.869734802E0,1.035834202E1
8.294856917E0,-5.389243011E0,3.942800903E0,7.804171143E0,1.027106160E1
8.304881917E0,-5.390141144E0,3.942651215E0,7.784861298E0,1.025681167E1
8.314907917E0,-5.414540405E0,3.965852966E0,7.839497681E0,1.032002720E1
8.324933917E0,-5.407804413E0,3.952380981E0,7.821984100E0,1.029801434E1
8.334959917E0,-5.400170288E0,3.939507751E0,7.817343750E0,1.028554441E1
8.344984917E0,-5.413342896E0,3.937861176E0,7.826923828E0,1.029911494E1
8.355010917E0,-5.442831573E0,3.956422577E0,7.886200562E0,1.036676683E1
8.365036917E0,-5.475763092E0,3.985611877E0,7.939789124E0,1.043596353E1
8.375062917E0,-5.456004181E0,3.953728180E0,7.894882507E0,1.037926384E1
8.385087917E0,-5.369933167E0,3.894002380E0,7.777077484E0,1.022166185E1
8.395113917E0,-5.390440521E0,3.885470123E0,7.799979858E0,1.024662934E1
8.405139917E0,-5.478906555E0,3.943399658E0,7.943381653E0,1.042430477E1
8.415165917E0,-5.594615936E0,4.024830322E0,8.115224304E0,1.064687053E1
8.425191917E0,-5.639223175E0,4.043242035E0,8.183931427E0,1.072964947E1
8.435216917E0,-5.527555389E0,3.963907013E0,8.042625275E0,1.053329240E1
8.445242917E0,-5.390141144E0,3.865711212E0,7.816595306E0,1.025165874E1
8.455268917E0,-5.327870636E0,3.809877319E0,7.713609467E0,1.011934492E1
8.465294917E0,-5.295986938E0,3.786825256E0,7.675887909E0,1.006512684E1
8.475319917E0,-5.290598145E0,3.777245178E0,7.673492889E0,1.005686348E1
8.485345917E0,-5.272785187E0,3.745062103E0,7.628586273E0,1.000115405E1
8.495371917E0,-5.206024017E0,3.707190857E0,7.549999695E0,9.891837317E0
8.505397917E0,-5.179379425E0,3.686084747E0,7.500752106E0,9.832317842E0
8.515422917E0,-5.184019775E0,3.679797821E0,7.517217865E0,9.844975239E0
8.525448917E0,-5.200635223E0,3.684887238E0,7.520960083E0,9.858490820E0
8.535474917E0,-5.185217285E0,3.681594086E0,7.509434052E0,9.840336025E0
8.545500917E0,-5.130131836E0,3.646417236E0,7.424410858E0,9.733267073E0
8.555526917E0,-5.046455841E0,3.582350464E0,7.287146301E0,9.560462992E0
8.565551917E0,-4.992867279E0,3.550167389E0,7.215744781E0,9.465695162E0
8.575577917E0,-5.009632416E0,3.574267273E0,7.246281281E0,9.506860464E0
8.585603917E0,-5.023104401E0,3.603456573E0,7.257507935E0,9.533514489E0
8.595629917E0,-4.998705139E0,3.603456573E0,7.234605560E0,9.503234710E0
8.605654917E0,-4.961881714E0,3.586092682E0,7.178621979E0,9.434667158E0
8.615680917E0,-4.922513580E0,3.570974121E0,7.107370148E0,9.354020875E0
8.625706917E0,-4.887037354E0,3.576362915E0,7.059170380E0,9.300827503E0
8.635732917E0,-4.899461517E0,3.611988831E0,7.078629913E0,9.335854965E0
8.645757917E0,-4.923860779E0,3.649111633E0,7.127877502E0,9.400375438E0
8.655783917E0,-4.902455292E0,3.656895447E0,7.084168396E0,9.359080834E0
8.665809917E0,-4.878056030E0,3.662882996E0,7.055428162E0,9.326907795E0
8.675835917E0,-4.911885681E0,3.701951752E0,7.104975128E0,9.397432590E0
8.685860917E0,-4.972359924E0,3.772305450E0,7.202422485E0,9.530453362E0
8.695886917E0,-5.058730316E0,3.864962769E0,7.327861633E0,9.707020435E0
8.705912917E0,-5.060376892E0,3.876039734E0,7.318730621E0,9.705406546E0
8.715938917E0,-4.967420197E0,3.816014557E0,7.184310150E0,9.531607569E0
8.725964917E0,-4.872816925E0,3.750899963E0,7.058122559E0,9.361126501E0
8.735989917E0,-4.864584045E0,3.738326111E0,7.026538239E0,9.327995479E0
8.746015917E0,-4.962330780E0,3.806434479E0,7.160509644E0,9.507185102E0
8.756041917E0,-5.118605804E0,3.938459930E0,7.413034515E0,9.831819401E0
8.766067917E0,-5.270240479E0,4.050127716E0,7.640261993E0,1.012682441E1
8.776092917E0,-5.366490326E0,4.109853516E0,7.779771881E0,1.030606447E1
8.786118917E0,-5.394482117E0,4.109853516E0,7.815397797E0,1.034754927E1
8.796144917E0,-5.366939392E0,4.086352386E0,7.783514099E0,1.029977699E1
8.806170917E0,-5.408552856E0,4.088747406E0,7.836354218E0,1.036237168E1
8.816195917E0,-5.456303558E0,4.101321259E0,7.916737061E0,1.045307659E1
8.826221917E0,-5.547463989E0,4.155209198E0,8.041278076E0,1.061613269E1
8.836247917E0,-5.640420685E0,4.207749939E0,8.173453217E0,1.078539951E1
8.846273917E0,-5.699248352E0,4.222120056E0,8.270152130E0,1.089509733E1
8.856296208E0,-5.765410767E0,4.255201263E0,8.383466492E0,1.102856335E1
8.866321208E0,-5.830525360E0,4.279600525E0,8.464448090E0,1.113359278E1
8.876347208E0,-5.862558746E0,4.291575623E0,8.510701904E0,1.119014134E1
8.886373208E0,-5.861660614E0,4.262835388E0,8.502618713E0,1.117252683E1
8.896399208E0,-5.815556488E0,4.206851807E0,8.445138245E0,1.108326032E1
8.906424208E0,-5.751340027E0,4.152963867E0,8.336913300E0,1.094664991E1
8.916450208E0,-5.718857574E0,4.101321259E0,8.289012909E0,1.087354142E1
8.926476208E0,-5.702840881E0,4.068539429E0,8.275091858E0,1.084216549E1
8.936502208E0,-5.721701660E0,4.064348145E0,8.294102325E0,1.086503240E1
8.946527208E0,-5.682932281E0,4.022285614E0,8.233179016E0,1.078238089E1
8.956553208E0,-5.625451813E0,3.966751099E0,8.137228546E0,1.065811009E1
8.966579208E0,-5.624853058E0,3.946692810E0,8.120463409E0,1.063754117E1
8.976605208E0,-5.617218933E0,3.930077362E0,8.133486328E0,1.063730494E1
8.986630208E0,-5.605094147E0,3.912713470E0,8.116122437E0,1.061121343E1
8.996656208E0,-5.613027649E0,3.904630280E0,8.116571503E0,1.061277296E1
9.006682208E0,-5.614823914E0,3.907025299E0,8.119116211E0,1.061655040E1
9.016708208E0,-5.650300140E0,3.926484833E0,8.168363800E0,1.068013773E1
9.026734208E0,-5.656287689E0,3.940256195E0,8.190218353E0,1.070508692E1
9.036759208E0,-5.660628662E0,3.942501526E0,8.191565552E0,1.070923813E1
9.046785208E0,-5.632936249E0,3.936663666E0,8.160430298E0,1.066864163E1
9.056811208E0,-5.606141968E0,3.929777985E0,8.112529907E0,1.061532497E1
9.066837208E0,-5.614225159E0,3.949836273E0,8.137527924E0,1.064613035E1
9.076862208E0,-5.595364380E0,3.971092072E0,8.126151581E0,1.063541322E1
9.086888208E0,-5.555846558E0,3.953279114E0,8.057145081E0,1.055525621E1
9.096914208E0,-5.529950409E0,3.964056702E0,8.013585663E0,1.051245225E1
9.106940208E0,-5.477409668E0,3.952830048E0,7.941585388E0,1.042572110E1
9.116965208E0,-5.392536163E0,3.912563782E0,7.822433167E0,1.027511860E1
9.126991208E0,-5.361999664E0,3.908671875E0,7.773784332E0,1.022059094E1
9.137017208E0,-5.386847992E0,3.951931915E0,7.788902893E0,1.026172039E1
9.147043208E0,-5.380112000E0,3.963308258E0,7.804320831E0,1.027428056E1
9.157069208E0,-5.331163788E0,3.944297791E0,7.743547211E0,1.019516139E1
9.167094208E0,-5.284311218E0,3.910318451E0,7.645201721E0,1.008283912E1
9.177120208E0,-5.221891022E0,3.873644714E0,7.560627594E0,9.971778118E0
9.187146208E0,-5.177882538E0,3.837569733E0,7.490273895E0,9.881377032E0
9.197172208E0,-5.139412537E0,3.801045685E0,7.416477356E0,9.791100341E0
9.207197208E0,-5.082680511E0,3.750001831E0,7.346423035E0,9.688451183E0
9.217223208E0,-5.053341522E0,3.735631714E0,7.300318909E0,9.632541773E0
9.227249208E0,-5.071004791E0,3.721261597E0,7.325167236E0,9.655099818E0
9.237275208E0,-5.109774170E0,3.737577667E0,7.387587433E0,9.729117481E0
9.247300208E0,-5.129533081E0,3.721860352E0,7.401508484E0,9.744058802E0
9.257326208E0,-5.121000824E0,3.700305176E0,7.397017822E0,9.727938142E0
9.267352208E0,-5.204676819E0,3.722010040E0,7.500602417E0,9.859059597E0
9.277378208E0,-5.271737366E0,3.746259613E0,7.587571564E0,9.969800308E0
9.287403208E0,-5.282664642E0,3.717369690E0,7.617359619E0,9.987469685E0
9.297429208E0,-5.342540131E0,3.736529846E0,7.699688416E0,1.008908281E1
9.307455208E0,-5.440286865E0,3.764371948E0,7.832312622E0,1.025243085E1
9.317481208E0,-5.493126984E0,3.782484283E0,7.909701691E0,1.034625595E1
9.327507208E0,-5.475164337E0,3.732039185E0,7.859855347E0,1.028021727E1
9.337532208E0,-5.398374023E0,3.647465057E0,7.755971375E0,1.012924160E1
9.347558208E0,-5.369334412E0,3.608246613E0,7.712411957E0,1.006630487E1
9.357584208E0,-5.357658691E0,3.569776611E0,7.681276703E0,1.002246594E1
9.367610208E0,-5.334756317E0,3.535348206E0,7.657027130E0,9.979397596E0
9.377635208E0,-5.351521454E0,3.500021667E0,7.668104095E0,9.984425570E0
9.387661208E0,-5.331762543E0,3.479214935E0,7.659721527E0,9.960118586E0
9.397687208E0,-5.260810089E0,3.419788513E0,7.555089111E0,9.820918885E0
9.407713208E0,-5.182073822E0,3.348386993E0,7.437733154E0,9.663615215E0
9.417738208E0,-5.141508179E0,3.304677887E0,7.368576965E0,9.573501386E0
9.427764208E0,-5.141358490E0,3.277434540E0,7.378755798E0,9.571895393E0
9.437790208E0,-5.168601837E0,3.279081116E0,7.407046967E0,9.608910588E0
9.447816208E0,-5.169799347E0,3.280877380E0,7.409591675E0,9.612129341E0
9.457842208E0,-5.135520630E0,3.244053955E0,7.358697510E0,9.541901658E0
9.467867208E0,-5.084476776E0,3.209475861E0,7.289541321E0,9.449341356E0
9.477893208E0,-5.078638916E0,3.203338623E0,7.270979919E0,9.429798543E0
9.487919208E0,-5.105582886E0,3.216960297E0,7.316784668E0,9.484257906E0
9.497945208E0,-5.184768219E0,3.262914734E0,7.418273621E0,9.620770112E0
9.507970208E0,-5.286855927E0,3.334316254E0,7.571105804E0,9.817848724E0
9.517996208E0,-5.322332153E0,3.375780029E0,7.637567596E0,9.902300195E0
9.528022208E0,-5.302872620E0,3.384611664E0,7.620652771E0,9.881821836E0
9.538048208E0,-5.300776978E0,3.388353882E0,7.591014404E0,9.859141863E0
9.548073208E0,-5.325325928E0,3.428620148E0,7.631280670E0,9.917206110E0
9.558099208E0,-5.358107758E0,3.459456024E0,7.668253784E0,9.973929558E0
9.568125208E0,-5.408403168E0,3.513343964E0,7.738757172E0,1.007386585E1
9.578151208E0,-5.430856476E0,3.557053070E0,7.794291687E0,1.014385585E1
9.588176208E0,-5.465434570E0,3.605402527E0,7.848628693E0,1.022109949E1
9.598202208E0,-5.493576050E0,3.643273773E0,7.877069550E0,1.027137022E1
9.608228208E0,-5.473667450E0,3.656147003E0,7.858807526E0,1.025130733E1
9.618254208E0,-5.457950134E0,3.674558716E0,7.844287720E0,1.023838128E1
9.628280208E0,-5.469625854E0,3.693269806E0,7.872279510E0,1.027277146E1
9.638305208E0,-5.481151886E0,3.725602570E0,7.899073792E0,1.031108662E1
9.648331208E0,-5.509443054E0,3.767515411E0,7.941884766E0,1.037408641E1
9.658357208E0,-5.537135468E0,3.789220276E0,7.984396362E0,1.042922072E1
9.668383208E0,-5.544919281E0,3.811374207E0,7.991731110E0,1.044703160E1
9.678408208E0,-5.582790527E0,3.844754791E0,8.058342590E0,1.053026945E1
9.688434208E0,-5.616620178E0,3.865561523E0,8.126450958E0,1.060793068E1
9.698460208E0,-5.619015198E0,3.861819305E0,8.132139130E0,1.061219426E1
9.708486208E0,-5.639821930E0,3.884272614E0,8.151299286E0,1.064607182E1
9.718511208E0,-5.665568390E0,3.896696777E0,8.207582245E0,1.070734875E1
9.728537208E0,-5.691913605E0,3.900888062E0,8.245902557E0,1.075219592E1
9.738563208E0,-5.720803528E0,3.913910980E0,8.286168823E0,1.080309613E1
9.748589208E0,-5.747448120E0,3.928730164E0,8.327333221E0,1.085414940E1
9.758614208E0,-5.760770416E0,3.922742615E0,8.351283417E0,1.087742249E1
9.768640208E0,-5.723946991E0,3.894451447E0,8.308771820E0,1.081508254E1
9.778666208E0,-5.681435394E0,3.857777710E0,8.216563568E0,1.070855144E1
9.788692208E0,-5.669160919E0,3.843257904E0,8.208929443E0,1.069095597E1
9.798718208E0,-5.687422943E0,3.860921173E0,8.234226837E0,1.072641523E1
9.808743208E0,-5.663921814E0,3.842060394E0,8.209827576E0,1.068843802E1
9.818769208E0,-5.625601501E0,3.824097748E0,8.157436523E0,1.062143524E1
9.828795208E0,-5.573210449E0,3.811224518E0,8.092172241E0,1.053894485E1
9.838821208E0,-5.507347412E0,3.773053894E0,7.995323639E0,1.041594985E1
9.848846208E0,-5.456602936E0,3.752845917E0,7.936196594E0,1.033642029E1
9.858872208E0,-5.421276398E0,3.742068329E0,7.879015503E0,1.026996584E1
9.868898208E0,-5.397026825E0,3.740870819E0,7.845485229E0,1.023101420E1
9.878924208E0,-5.345234528E0,3.717369690E0,7.765551453E0,1.013381266E1
9.888949208E0,-5.291196899E0,3.695814514E0,7.685617676E0,1.003616105E1
9.898975208E0,-5.280269623E0,3.703149261E0,7.673792267E0,1.002405355E1
9.909001208E0,-5.274731140E0,3.722908173E0,7.676486664E0,1.003051750E1
9.919027208E0,-5.284909973E0,3.749702454E0,7.686665497E0,1.005362464E1
9.929052208E0,-5.278024292E0,3.770060120E0,7.671247559E0,1.004584157E1
9.939078208E0,-5.249882812E0,3.767066345E0,7.634124756E0,1.000159583E1
9.949104208E0,-5.218448181E0,3.765868835E0,7.586224365E0,9.948103821E0
9.959130208E0,-5.198988647E0,3.774401093E0,7.573201447E0,9.931211744E0
9.969156208E0,-5.175487518E0,3.780089264E0,7.526797943E0,9.885718647E0
9.979181208E0,-5.159321136E0,3.791315918E0,7.506440277E0,9.866068954E0
9.989207208E0,-5.128036194E0,3.795656891E0,7.447911987E0,9.806893464E0
9.999233208E0,-5.137167206E0,3.836821289E0,7.468569031E0,9.843333169E0
1.000925921E1,-5.167404327E0,3.891607361E0,7.525899811E0,9.924003391E0
1.001928421E1,-5.122048645E0,3.889062653E0,7.459438019E0,9.849030724E0
1.002931021E1,-5.049000549E0,3.854783936E0,7.345375214E0,9.711143227E0
1.003933621E1,-5.040917358E0,3.877386932E0,7.318281555E0,9.695474313E0
1.004936221E1,-5.032983856E0,3.908671875E0,7.319329376E0,9.704701172E0
1.005938721E1,-5.032385101E0,3.939807129E0,7.328310699E0,9.723739904E0
1.006941321E1,-5.023104401E0,3.951183472E0,7.303612061E0,9.704956351E0
1.007943921E1,-4.976700897E0,3.933819580E0,7.220684509E0,9.611491720E0
1.008946521E1,-4.934189301E0,3.926933899E0,7.180268555E0,9.556322013E0
