"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.552162083E-1,-6.754254456E0,3.609743500E0,8.993298340E0,1.181226551E1
6.652422083E-1,-6.670129395E0,3.858526154E0,8.930878143E0,1.179573799E1
6.752682083E-1,-6.458918610E0,4.091890869E0,8.727451172E0,1.160299980E1
6.852942083E-1,-6.020330658E0,4.231700134E0,8.271499329E0,1.107110511E1
6.953202083E-1,-5.475613403E0,4.260140991E0,7.603288879E0,1.029277150E1
7.053452083E-1,-4.938829651E0,4.273014221E0,6.947951660E0,9.535445513E0
7.153712083E-1,-4.533921661E0,4.262386322E0,6.385870514E0,8.916486136E0
7.253972083E-1,-4.264182587E0,4.256548462E0,5.974525909E0,8.485070287E0
7.354232083E-1,-4.141886902E0,4.268523560E0,5.695506134E0,8.234944481E0
7.454482083E-1,-4.200864258E0,4.330494690E0,5.605543213E0,8.235445312E0
7.554742083E-1,-4.427642670E0,4.450245667E0,5.736820221E0,8.504105617E0
7.655002083E-1,-4.782255249E0,4.623136139E0,6.055657196E0,8.995239691E0
7.755262083E-1,-5.157973938E0,4.797074432E0,6.428232422E0,9.536183216E0
7.855522083E-1,-5.451812897E0,4.832550659E0,6.704857178E0,9.901056484E0
7.955772083E-1,-5.626050568E0,4.753664703E0,6.827751617E0,1.004330450E1
8.056032083E-1,-5.731281738E0,4.636458435E0,6.920558624E0,1.011130401E1
8.156292083E-1,-5.822741547E0,4.580474854E0,7.090155945E0,1.025452975E1
8.256552083E-1,-5.834866333E0,4.494703217E0,7.184160461E0,1.028883782E1
8.356802083E-1,-5.769302673E0,4.398004303E0,7.234455872E0,1.024522557E1
8.457062083E-1,-5.644162903E0,4.293072510E0,7.195087738E0,1.010229350E1
8.557284167E-1,-5.528902588E0,4.229454803E0,7.183711395E0,1.000313757E1
8.657544167E-1,-5.436694336E0,4.205654297E0,7.198380890E0,9.952982508E0
8.757804167E-1,-5.330115967E0,4.200864258E0,7.189998322E0,9.887035582E0
8.858054167E-1,-5.200784912E0,4.156706085E0,7.110064545E0,9.740605064E0
8.958314167E-1,-5.119503937E0,4.135749664E0,7.086413727E0,9.671142919E0
9.058574167E-1,-5.107379150E0,4.156257019E0,7.115603027E0,9.694926541E0
9.158834167E-1,-5.114264832E0,4.166735229E0,7.150480499E0,9.728656568E0
9.259084167E-1,-5.092110901E0,4.127217407E0,7.150181122E0,9.699928197E0
9.359344167E-1,-5.064418488E0,4.052223358E0,7.140451355E0,9.646496479E0
9.459604167E-1,-5.013674011E0,3.939058685E0,7.126530304E0,9.562454946E0
9.559864167E-1,-5.043162689E0,3.828139343E0,7.222929840E0,9.605147381E0
9.660124167E-1,-5.047653351E0,3.663332062E0,7.315587158E0,9.613356418E0
9.760374167E-1,-4.903203735E0,3.348686371E0,7.168143768E0,9.307920947E0
9.860634167E-1,-4.675377502E0,2.951113129E0,6.876699829E0,8.823674066E0
9.960894167E-1,-4.504582672E0,2.575244751E0,6.609804840E0,8.403134570E0
1.006115417E0,-4.484823761E0,2.260599060E0,6.507268066E0,8.220005472E0
1.016140417E0,-4.675676880E0,2.045196991E0,6.695576477E0,8.418760561E0
1.026166417E0,-5.044509888E0,1.924996948E0,7.096592560E0,8.917080196E0
1.036192417E0,-5.481600952E0,1.840273132E0,7.572752380E0,9.527913350E0
1.046218417E0,-5.970484314E0,1.827699280E0,8.086633759E0,1.021669287E1
1.056244417E0,-6.401438141E0,1.832938385E0,8.533155212E0,1.082371523E1
1.066269417E0,-6.735094299E0,1.892664185E0,8.871002655E0,1.129771486E1
1.076295417E0,-7.022496643E0,1.992506561E0,9.196126556E0,1.174113645E1
1.086321417E0,-7.265591125E0,2.171085205E0,9.527836761E0,1.217711373E1
1.096347417E0,-7.447013855E0,2.380350037E0,9.822124786E0,1.255381285E1
1.106372417E0,-7.575446777E0,2.637664948E0,1.006387207E1,1.286958396E1
1.116398417E0,-7.648045807E0,2.919079742E0,1.026535309E1,1.312977933E1
1.126424417E0,-7.747738495E0,3.242706757E0,1.046234344E1,1.341652821E1
1.136450417E0,-7.832162933E0,3.601211243E0,1.065454376E1,1.370513777E1
1.146476417E0,-7.936196594E0,4.004322968E0,1.087443649E1,1.404532619E1
1.156501417E0,-7.978259125E0,4.427193604E0,1.100271973E1,1.429379247E1
