,index,Mean Squared Error,Mean Squared Error dB,Error in Filter Std,Occlusion Start,Occlusion End,Occlusion Duration,System Noise,Meaned Filter Variance
0,0.0,0.00039750851649757624,-34.00653562282276,85.32093137858816,100.0,100.0,0.0,0.5,0.012180795324258462
1,1.0,0.00040017290553496094,-33.977523194354404,85.0375754589134,100.0,130.0,30.0,0.5,0.012190030686519231
2,2.0,0.00040479977759935883,-33.92759734773489,85.03141554761612,100.0,160.0,60.0,0.5,0.012219605898954341
3,3.0,0.0004053326676306803,-33.92188393050774,85.12381421707528,100.0,190.0,90.0,0.5,0.012229439949892633
4,4.0,0.0004077544711652987,-33.89601268076109,85.006775902427,100.0,220.0,120.0,0.5,0.012245347180169298
5,5.0,0.0004133752292003603,-33.836555512789076,84.95749661204879,100.0,250.0,150.0,0.5,0.012291914739300686
